#名前,職,index,タイプ,名称,系統,条件,サブ条件,条件備考,効果,サブ効果,効果備考,対象,サブ対象,対象備考,備考,武器名
,,,,,in_debuff,in_blind,,,dsup,,,self,,,,
,,,,,in_debuff,in_slow,,,dsup,,,self,,,,
,,,,,buff_self,any,,,healup,,,self,,,,
,,,,,buff_self,any,,,areashift,,,self,,,,
,,,2,無垢,buff_jobs,any,,,aup,,,job_a,,,,
,,,,,buff_jobs,any,,,dsup,,,job_fk,,,,
,,,,,heal,wave_start,,,heal_jobs,,,job_fk,,,,
,,,c,好奇心,resource,battle_start,,,treasure,,,resource,,,,
,,,,,buff_all,in_sub,,,aup,,,all,,,,
,,,,,,,,,,,,,,,,
# 魔神ズフラス戦,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
エイラ,K,117,1,森妖精の騎士,add_debuff,critical,,,slow,,,enemy,,,,
,,,,,add_debuff,add_slow,,,defdown,,,enemy,,,,
,,,,,add_debuff,add_slow,,,delayup,,,enemy,,,,
,,,2,人と森の架け橋,buff_self,with_k,include_self,3名以上,crup,,,self,,,,
,,,,,buff_self,with_a,,,sup,,,self,,,,
,,,,,field,in_forest,,,adup,,,all,,,,
,,,c,森を想う心,field,in_forest,,,adup,,,self,,,,
ズフラス,A,109,1,魔神の渇求,mana,wave_start,boost_on_field,森林,mana_boost,,,resource,,,,
,,,,,field,in_forest,,,adsup,,,all,,,,
,,,2,救済の森人,buff_self,attack,,,delayoff,,,self,,,,
,,,,,buff_self,shoot,,,aup,,,self,,,,
,,,,,add_debuff,attack,,,poison,,,enemy,,,,
,,,,,add_debuff,add_poison,,,atkdown,,,enemy,,,,
,,,c,森を慈しむ心,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,add_debuff,attack,,,poison,,,enemy,,,,
,,,,,,,,,,,,,,,,
# 2016新年,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
シュザ,F,212,1,先導する覇王,against_debuff,any,,,guard_slow,,,self,,,,
,,,,,against_debuff,any,,,guard_down,,,self,,,,
,,,,,against_debuff,any,,,guard_seal,,,self,,,,
,,,,,buff_group,any,,,adcup,,,group_volcano,,,,
,,,2,羅刹となりて,buff_self,wave_start,,,aup,,,self,,,,
,,,,,buff_self,wave_start,,HP51%以上,sup,,,self,,,,
,,,,,buff_self,wave_start,,HP50%以下,dup,,,self,,,,
,,,c,領主の指南,against_debuff,any,,,guard_down,,,self,,,,
,,,,,buff_self,any,,,cup,,,self,,,,
マカコ,F,213,1,猿の森妖精,field,in_forest,,,adsup,,,self,,,,
,,,,,add_debuff,skill,,,poison,,,enemy,,,,
,,,,,add_debuff,skill,,,slow,,,enemy,,,,
,,,,,add_debuff,skill,,,blind,,,enemy,,,,
,,,2,計算されたイタズラ,add_debuff,skill,,,down,,,enemy,,,,
,,,,,buff_self,enemys_debuff,,毒/スロウ/暗闇,aup,,,self,,,,
,,,c,森のイタズラ好き,field,in_forest,,,adup,,,self,,,,
,,,,,,,,,,,,,,,,
タピール,M,152,1,悪夢喰いの祝福,pierce,kill,,,pierce,bullet_speeddown,,enemy,,,,
,,,,,mana,wave_start,field,異空間,mana_boost,,,resource,,,,
,,,,,field,in_dimension,,,sup,,,self,,,,
,,,2,夢か現か,buff_self,in_move,,,invisible,,,self,,,,
,,,,,buff_self,in_invisible,,,aup,,,self,,,,
,,,,,buff_self,kill,,,aup,,,self,,,,
,,,c,夢旅人,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_self,any,,,sup,,,self,,,,
アトノア,M,153,1,ちょーよゆーっしょ！,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,mana,kill,,,mana_drop,,,resource,,,,
,,,2,言霊の力,against_debuff,any,,,guard_seal,,,self,,,,
,,,,,mana,wave_start,,,slot_slow,,,resource,,,,
,,,c,二つ星教授,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_self,any,,,aup,,,self,,,,
,,,,,,,,,,,,,,,,
# 空の軌跡SCコラボ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ヨシュア,F,214,1,魔眼・改,buff_self,any,,,sup,,,self,,,,
,,,,,for_debuff,for_poison,,,aup,,,self,,,,
,,,,,for_debuff,for_blind,,,aup,,,self,,,,
,,,,,for_debuff,for_slow,,,aup,,,self,,,,
,,,2,集団戦闘術,buff_self,in_enemy_area,,,aup,,,self,,,,
,,,,,buff_self,in_front,,3名以上,dup,,,self,,,,
,,,,,heal,in_front,,3名以上,heal_cycle,,,self,,,,
,,,c,真・絶影,add_debuff,attack,,,poison,,,enemy,,,,
,,,,,add_debuff,attack,,,blind,,,enemy,,,,
,,,,,add_debuff,attack,,,slow,,,enemy,,,,
レーヴェ,F,216,1,剣帝,buff_self,any,,,rup,,,self,,,,
,,,,,buff_self,in_attacking,,異なる敵を攻撃すると効果上昇,adup_m,,,self,,,,
,,,2,修羅,against_debuff,any,,,guard_slow,,,self,,,,
,,,,,against_debuff,any,,,guard_seal,,,self,,,,
,,,,,buff_self,kill,,,aup,,,self,,,,
,,,c,必殺の理,skillup,any,,,skill_atkup,,,self,,,,
,,,,,killer,vs_human,,,aup,,,self,,,,
エステル,K,118,1,掛け声,buff_all,any,,,aup,,,all,,,,
,,,,,buff_all,others_skill,,,aup_m,,,all,,,,
,,,2,太陽の娘,buff_all,wave_start,,,asup_m,,,all,,,,
,,,,,heal,wave_start,,,heal_all,,,all,,,,
,,,c,猪突猛進,buff_self,any,,,dup,,,self,,,,
,,,,,heal,attack,,,absorb,,,self,,,,
レン,M,154,1,環境適応能力,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_self,shoot,,,aup,,攻撃間隔増加,self,,,,
,,,2,パテル＝マテル,heal,any,,,heal_cycle,,,self,,,,
,,,,,invincible,dropout_self,,,invincible,,,self,,,,
,,,,,heal,dropout_self,,,heal_self,,,self,,,,
,,,,,buff_self,dropout_self,,,adsup_m,,,self,,,,
,,,c,おマセな仔猫,buff_self,any,,,rup,,,self,,,,
,,,,,heal,any,,,heal_cycle,,,self,,,,
,,,,,,,,,,,,,,,,
ヨシュア,F,215,1,魔眼,for_debuff,for_poison,,,aup,,,self,,,,
,,,,,for_debuff,for_blind,,,aup,,,self,,,,
,,,,,for_debuff,for_slow,,,aup,,,self,,,,
,,,2,執行者No.XIII,buff_self,in_enemy_area,,,aup,,,self,,,,
,,,c,フォルテ,buff_self,any,,,aup,,,self,,,,
アネラス,F,217,1,落葉,buff_self,any,,,aup,defdown_self,,self,,,,
,,,,,add_debuff,attack,,,slow,,,enemy,,,,
,,,2,八葉一刀流,buff_self,any,,,srup,,,self,,,,
,,,c,八葉の教え,buff_self,hp_upto,,,asup,,,self,,,,
クローゼ,K,119,1,ケンプファーII,add_debuff,attack,,,atkdefdown,,,enemy,,,,
,,,2,王女の資質,against_debuff,any,,,guard_seal,,,self,,,,
,,,,,heal,wave_start,,,heal_all,,,all,,,,
,,,c,空の女神の祝福,heal,wave_start,,,heal_all,,,all,,,,
アガット,K,120,1,バッファローレイジII,buff_self,any,,,aup,,,self,,,,
,,,,,element,attack,,,fire,,,self,,,,
,,,,,buff_self,hp_downto,,,aup,,,self,,,,
,,,2,仲間想い,buff_self,with_a,,,dup,,,self,,,,
,,,,,buff_self,boss_wave,,,sup,defdown_self,,self,,,,
,,,c,練気,buff_self,hp_downto,,,asup,,,self,,,,
オリビエ,A,110,1,ハッピートリガーII,buff_self,shoot,,,aup,,,self,,,,
,,,,,pierce,kill,,,pierce,,,enemy,,,,
,,,,,heal,wave_start,,,heal_one,,,hp_worst,,,,
,,,2,愛の狩人,buff_self,kill,boost_on_debuff_enemy,暗闇/スロウ,asup_m,,,self,,,,
,,,c,スナイプショット,buff_self,shoot,,,aup,,,self,,,,
,,,,,add_debuff,attack,,,blind,,,enemy,,,,
ティータ,A,111,1,スモークカノンII,add_debuff,attack,,,blind,,,enemy,,,,
,,,,,buff_self,any,,,single_shoot,,,self,,,,
,,,,,buff_self,shoot,,,aup,,,self,,,,
,,,2,発明家の援護,buff_jobs,any,,,dup,,,job_k,,,,
,,,c,暗視ゴーグル,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,against_debuff,any,,,guard_blind,,,self,,,,
,,,,,,,,,,,,,,,,
# 王都に咲く白百合,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ユリアナ,K,121,1,希望の象徴,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,heal,with_k,,1名以上,heal_cycle,,,self,,,,
,,,,,buff_self,with_k,,2名以上,asup,,,self,,,,
,,,2,聖王女の誓い,buff_jobs,any,,,adup,,,job_k,,,,
,,,,,buff_weapons,any,,,aup,,,weapon_sl,,,,
,,,,,buff_weapons,any,,,cup,,,weapon_bl,,,,
,,,,,buff_weapons,any,,,sup,,,weapon_pi,,,,
,,,c,聖王女の剣,buff_self,any,,,aup,,,self,,,,
,,,,,heal,any,,,heal_cycle,,,self,,,,
リフレット,K,122,1,日輪の護り手,against_debuff,any,,,guard_poison,,,self,,,,
,,,,,against_debuff,any,,,guard_down,,,self,,,,
,,,,,add_debuff,critical,,,tumble,,,enemy,,,,
,,,,,buff_self,in_enemy_area,,,crup,,,self,,,,
,,,2,心優しき向日葵,buff_self,any,,,adup,,,self,,,,
,,,,,buff_self,hp_downto,,,adcup,,,self,,,,
,,,,,heal,wave_start,,,heal_all,,,self,,,,
,,,c,聖光の守護,buff_self,any,,,cup,,,self,,,,
,,,,,buff_self,hp_downto,,,dup,,,self,,,,
ローエンディア,K,123,1,清浄の白百合,buff_self,any,,,guardup,,,self,,,,
,,,,,buff_self,in_combo,,,asup_m,,,self,,,,
,,,2,天翼の秘奥義,buff_self,boss_wave,,,acup,,,self,,,,
,,,,,skillup,others_skill,,,skill_atkup,momentary,,self,,,,
,,,c,天翼の輝き,buff_self,any,,,guardup,,,self,,,,
,,,,,buff_self,boss_wave,,,aup,,,self,,,,
,,,,,,,,,,,,,,,,
# 戦場のヴァルキュリアコラボ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
イムカ,F,218,1,孤高,buff_self,in_front,,4人まで,adscrup,,,self,,,,
,,,,,invincible,dropout_self,,,invincible,,,self,,,,
,,,,,heal,dropout_self,,,heal_self,,,self,,,,
,,,,,mana,dropout_self,,,mana_drop,mana_f,,resource,,,,
,,,2,果たすべき復讐,buff_self,own_skill,boost_with_enemys,,adup_m,,,self,,,,
,,,,,buff_others,own_skill,,,adup_m,,,others,,,,
,,,c,復讐の誓い,buff_self,boss_wave,,,aup,defdown_self,,self,,,,
セルベリア,K,124,1,蒼の魔女,buff_self,any,,,adscup,,,self,,,,
,,,,,heal,any,,,heal_cycle,,,self,,,,
,,,,,buff_self,in_attacking,,,dup_m,,,self,,,,
,,,,,buff_self,any,,,guardup,,,self,,,,
,,,2,ドライシュテルン,buff_jobs,any,,,adup,,,job_ka,,,,
,,,,,buff_weapons,any,,,ascup,,,weapon_pish,,,,
,,,,,buff_self,in_front,,,arup,,,self,,,,
,,,,,heal,in_front,,,heal_cycle,,,self,,,,
,,,c,ヴァルキュリアの加護,buff_self,any,,,adsup,,,self,,,,
アリシア,A,112,1,不可避射撃,buff_self,any,,,adsup,,,self,,,,
,,,,,buff_self,shoot,,,aup,,,self,,,,
,,,,,buff_self,any,,,single_shoot,,,self,,,,
,,,,,buff_self,any,,,bullet_speedup,,,self,,,,
,,,,,pierce,shoot,,,pierce,,,enemy,,,,
,,,2,平和への想い,mana,battle_start,,,mana_charge,,2個,resource,,,,
,,,,,buff_self,hp_upto,,,ascup,,,self,,,,
,,,,,heal,wave_start,,,heal_all,,,all,,,,
,,,,,buff_all,wave_start,,,adup_m,,,all,,,,
,,,,,resource,battle_end,,,ap_recover,,,resource,,,,
,,,c,不思議な体,buff_self,hp_upto,,,asup,,,self,,,,
,,,,,heal,wave_start,,,heal_self,,,self,,,,
リエラ,A,113,1,心頭滅却,against_debuff,any,,,guard_all,,,self,,,,
,,,,,buff_self,attack,,,delayoff,,,self,,,,
,,,,,combat,attack,,,combat,atkdown_shoot,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_self,combat,,,aup,,,self,,,,
,,,,,buff_self,with_a,,,acrup,,,self,,,,
,,,2,私の居場所,buff_all,any,,,adup,,,all,boost_for_union,旅人,,
,,,,,counter,any,with_span,,counterattack,,,enemy,,,,
,,,,,buff_self,guard,,,adup_m,,,self,,,,
,,,,,buff_self,counter,,,adup_m,,,self,,,,
,,,c,世話焼き,buff_one,wave_start,,,aup,,,hp_worst,,,,
,,,,,heal,wave_start,,,heal_one,,,hp_worst,,,,
,,,,,,,,,,,,,,,,
ユリアナ,K,125,1,勝ち気,buff_self,boss_wave,,,asup,,,self,,,,
,,,,,field,in_town,,,aup,,,self,,,,
,,,2,指揮官の資質,buff_self,in_head,,,dup,,,self,,,,
,,,,,buff_self,hp_downto,,,dup,,,self,,,,
,,,c,上流階級,buff_self,any,,,dup,,,self,,,,
,,,,,field,in_town,,,adup,,,self,,,,
ウェルキン,A,114,1,愛しい気持ち,buff_self,wave_start,,,adup_m,,,self,,,,
,,,,,buff_jobs,wave_start,,,adup_m,,,job_a,nearest,,,
,,,,,field,in_forest,,,asup,,,self,,,,
,,,2,オーダー【一斉射撃】,buff_jobs,in_sub,,,aup,,,job_a,,,,
,,,c,オーダー【一斉攻撃】,buff_all,in_sub,,,aup,,,all,,,,
イーディ,A,115,1,近接戦闘技術,buff_self,attack,,,rapid_shoot,,,self,,,,
,,,,,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_self,combat,,,aup,,,self,,,,
,,,2,イーディ分隊突撃！,buff_all,any,,,dup,,,all,,,,
,,,,,invincible,dropout_self,,,invincible,,,self,,,,
,,,,,heal,dropout_self,,,heal_self,,,self,,,,
,,,c,対人攻撃大アップ,killer,vs_human,,,adup,,,self,,,,
クルト,A,116,1,直接指揮,buff_self,any,,,single_shoot,,,self,,,,
,,,,,buff_self,shoot,,,aup,,,self,,,,
,,,,,buff_others,wave_start,,,aup_m,,,job_fa,,,,
,,,2,名もなき英雄,buff_self,with_fa,,2名以上,acup,,,self,,,,
,,,c,冷静,buff_self,hp_downto,,,asup,,,self,,,,
,,,,,,,,,,,,,,,,
# 大海新キャラ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
チェイス,A,117,1,宝物を追う海賊,resource,battle_start,,,treasure,,,resource,,,,
,,,,,resource,battle_end,,,goldup,,,resource,,,,
,,,,,buff_self,shoot,,,aup,,,self,,,,
,,,,,pierce,kill,,,pierce,,,enemy,,,,
,,,2,心に眠る財宝,heal,wave_start,,,heal_all,,,all,,,,
,,,,,buff_self,with_f,,,aup,,,self,,,,
,,,,,buff_self,with_k,,,aup,,,self,,,,
,,,,,buff_self,with_p,,,asup,,,self,,,,
,,,c,財宝の追求,resource,battle_start,,,treasure,,,resource,,,,
ミラベル,P,64,1,清麗な信仰心,buff_self,any,,,areaup,,,self,,,,
,,,,,heal,wave_start,,,heal_one,,,hp_worst,,,,
,,,,,resource,battle_end,,,expup,,,resource,,,,
,,,2,聖なる祈り,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,buff_self,mana_charged,,,healareaup,,,self,,,,
,,,,,mana,wave_start,,,mana_boost,,,resource,,,,
,,,c,神聖の加護,buff_self,any,,,healareaup,,,self,,,,
イングリス,P,65,1,商売神官,resource,battle_end,,,goldup,,,resource,,,,
,,,,,buff_self,any,,,healareaup,,,self,,,,
,,,2,金貨も銀貨も思し召し,resource,battle_end,,,goldup,,,resource,,,,
,,,,,buff_all,wave_start,,,cup,,,all,,,,
,,,c,大がまぐち,resource,battle_end,,,goldup,,,resource,,,,
,,,,,,,,,,,,,,,,
# バレンタイン2016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
モナミ,P,66,1,伝わらない想い,buff_self,any,,,sup,,,self,,,,
,,,,,buff_self,any,,,healup,,,self,,,,
,,,,,resource,battle_end,,,ap_recover,,,resource,,,,
,,,2,隠された想い,buff_jobs,any,,,dup,,,job_k,,,,
,,,,,heal,wave_start,,,heal_all,,,all,,,,
,,,c,愛の聖人の末裔,buff_self,any,,,healup,,,self,,,,
,,,,,against_debuff,any,,,reduce_seal,,,self,,,,
,,,,,,,,,,,,,,,,
# 魔法兵団フェス,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ヴェルナー,M,155,1,紅蓮の戦闘狂,element,attack,,,fire,,,self,,,,
,,,,,buff_self,kill,,,aup,,,self,,,,
,,,2,灼炎の破壊神,buff_self,shoot,,,aup,,,self,,,,
,,,,,add_debuff,attack,,,down,,,enemy,,,,
,,,,,buff_self,super_gauge_max,,,asup_m,,,self,,,,
,,,c,狂化の刻印,buff_self,shoot,,,aup,,,self,,,,
カティア,M,156,1,正義の魔法戦士,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_self,in_front,,2名以上,dup,,,self,,,,
,,,,,buff_self,in_front,,3名以上,aup,,,self,,,,
,,,2,魔法兵団統括師団長,buff_group,any,,,adup,,,group_academy,,,,
,,,,,buff_weapons,any,,,asup,,,weapon_sl,,,,
,,,c,魔法戦術高等指南,combat,attack,,,combat,,,self,,,,
ユニ,M,157,1,氷淵の女王,add_debuff,attack,,,freeze,,,enemy,,,,
,,,,,buff_self,mana_droped,mana_m,,aup_m,,,self,,,,
,,,2,笑顔の雪霰,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_self,combat,,,aup,,,self,,,,
,,,,,counter,defend,,,counterattack,,,enemy,,,,
,,,,,add_debuff,counter,,,freeze,,,enemy,,,,
,,,c,極氷の加護,against_debuff,any,,,guard_freeze,,,self,,,,
,,,,,add_debuff,attack,,,freeze,,,enemy,,,,
,,,,,,,,,,,,,,,,
# 2部7章後半（書架）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ラベゼリン,F,219,1,成功の魔神,mana,wave_start,,,composite,mana_fm,,resource,,,,
,,,,,buff_self,has_mana,mana_fm,,asup,,,self,,,,
,,,,,buff_self,with_m,,,dcrup,,,self,,,,
,,,2,本当の望み,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_jobs,wave_start,,,adsup_m,,,job_m,nearest,,,
,,,,,counter,defend,,,counterattack,,,enemy,,,,
,,,c,成功の支配,buff_self,any,,,aup,,,self,,,,
,,,,,mana,wave_start,,,mana_boost,,,resource,,,,
スーリヤ,F,220,1,天翔ける刃,mana,battle_start,,,mana_charge,,2個,resource,,,,
,,,,,buff_self,skill_hit,,,asup_m,,,self,,,,
,,,2,隊長の覚悟,buff_self,any,,,rup,,,self,,,,
,,,,,buff_all,super_gauge_max,,,asup_m,,,all,,,,
,,,,,heal,super_gauge_max,,,heal_all,,,all,,,,
,,,c,刃の舞,skillup,any,,,skill_atkup,,,self,,,,
セレン,K,126,1,魔神の守護,heal,wave_start,,,heal_self,,,self,,,,
,,,,,heal,wave_start,,,heal_one,,,hp_worst,,,,
,,,,,buff_self,wave_start,,,barrier,,,self,,,,
,,,,,buff_one,wave_start,,,barrier,,,hp_worst,,,,
,,,2,使命の守護,heal,others_skill,,,heal_self,,,self,,,,
,,,,,buff_self,others_skill,,,adsup_m,,,self,,,,
,,,,,buff_all,job_skill,job_p,,dup_m,,,all,,,,
,,,c,デモンヒール,heal,wave_start,,,heal_one,,,hp_worst,,,,
アストライア,K,127,1,怨恨の蓄積,buff_self,in_attacking,,,asup_m,,,self,,,,
,,,,,buff_self,kill,,,asup,,,self,,,,
,,,2,恨みの鎌,killer,vs_black,,,adup,,,self,,,,
,,,,,invincible,dropout_self,,,invincible,,,self,,,,
,,,,,heal,dropout_self,,,heal_self,,,self,,,,
,,,c,根絶やしの鎌,killer,vs_black,,,adup,,,self,,,,
グール＝ヴール,A,118,1,漆黒の弾丸,for_debuff,for_poison,,,aup,,,self,,,,
,,,,,for_debuff,for_blind,,,aup,,,self,,,,
,,,,,pierce,kill,,,pierce,,,enemy,,,,
,,,2,増幅する闇,buff_self,kill,skill,,aup_m,,,self,,,,
,,,,,buff_self,kill_debuff,,毒/暗闇,crup_m,,,self,,,,
,,,c,満ちる瘴気,add_debuff,attack,,,blind,,,enemy,,,,
マスカルウィン,M,158,1,死の魔神,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,aup,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_one,wave_start,,,aup_m,,,hp_worst,,,,
,,,2,渦巻く瘴気,add_debuff,attack,,,atkdown,,,enemy,,,,
,,,,,add_debuff,attack,,,speeddown,,,enemy,,,,
,,,,,buff_self,add_atkdown,,,dup,,,self,,,,
,,,,,mana,kill,boost_on_skill,,mana_drop,,,resource,,,,
,,,c,ネクロダンス,buff_self,dropout_member,,,aup_m,,,self,,,,
ペレキュデス,M,159,1,タイムワインド,buff_self,kill,,,asup_m,,,self,,,,
,,,,,buff_all,others_skill,,,asup_m,,,all,,,,
,,,2,タイムリワインド,mana,in_chain,,3Chainで必ず1つ,mana_drop,,,resource,,,,
,,,c,タイムエキスパンド,add_debuff,attack,,,slow,,,enemy,,,,
シヴァーニ,M,160,1,虹彩の意思,buff_self,mana_droped,,,aup_m,,,self,,,,
,,,,,buff_self,in_combo,,,sup_m,,,self,,,,
,,,,,pierce,in_combo,,,pierce,momentary,,enemy,,,,
,,,2,虹色魔力,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,buff_self,mana_charged,,,aup,,,self,,,,
,,,,,add_debuff,skill,has_mana_fkap,,tumble,,,enemy,,,,
,,,c,受け継いだ魔力,buff_self,any,,,asup,,,self,,,,
,,,,,,,,,,,,,,,,
スカレット,F,221,1,骨化の真髄【破】,against_debuff,any,,,guard_poison,,,self,,,,
,,,,,against_debuff,any,,,guard_weaken,,,self,,,,
,,,,,against_debuff,any,,,guard_undead,,,self,,,,
,,,,,buff_self,with_k,,,aup,,,self,,,,
,,,,,buff_self,with_a,,,rup,,,self,,,,
,,,2,骸骨戦士の殲滅術,for_debuff,for_slow,,,aup,,,self,,,,
,,,,,for_debuff,for_down,,,aup,,,self,,,,
,,,,,heal,kill,,,heal_self,,,self,,,,
,,,,,buff_self,kill,,,cup,,,self,,,,
,,,c,骸骨戦士,buff_self,any,,,rup,,,self,,,,
,,,,,heal,critical,,,absorb,,,self,,,,
ソーマ,F,222,1,瞬蒼のヴァジュラ使い,buff_self,super_gauge_max,,,asup_m,,,self,,,,
,,,2,第四小隊の熱い男,mana,kill,boost_on_skill,,mana_drop,,,resource,,,,
,,,,,buff_self,wave_start,,,acup_m,,,self,,,,
,,,,,buff_jobs,wave_start,,,acup_m,,,job_f,atk_best,,,
,,,c,新米隊員,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_self,any,,,sup,,,self,,,,
クライド,F,223,1,なまくら英雄,buff_self,hp_downto,,,adsrup,,,self,,,,
,,,2,纏光勇者,buff_self,any,,,super_skill,,,self,,,,
,,,,,buff_self,super_gauge_max,,,asup_m,,,self,,,,
,,,c,怠け禁止,buff_self,hp_downto,,,arup,,,self,,,,
ガシャ,K,128,1,骨化の真髄【壁】,against_debuff,any,,,guard_poison,,,self,,,,
,,,,,against_debuff,any,,,guard_weaken,,,self,,,,
,,,,,against_debuff,any,,,guard_undead,,,self,,,,
,,,,,buff_self,with_f,,,dup,,,self,,,,
,,,,,heal,with_a,,,heal_cycle,,,self,,,,
,,,2,骸骨騎士の防護術,buff_self,any,,,guardup,,,self,,,,
,,,,,skillup,guard,,,skill_atkup,,,self,,,,
,,,,,buff_self,guard,,,dup,,,self,,,,
,,,c,骸骨騎士,buff_self,any,,,dup,,,self,,,,
,,,,,heal,any,,,heal_cycle,,,self,,,,
カラ,A,119,1,骨化の真髄【射】,against_debuff,any,,,guard_poison,,,self,,,,
,,,,,against_debuff,any,,,guard_weaken,,,self,,,,
,,,,,against_debuff,any,,,guard_undead,,,self,,,,
,,,,,buff_self,with_f,,,aup,,,self,,,,
,,,,,buff_self,with_k,,,sup,,,self,,,,
,,,2,骸骨弓士の射撃術,buff_self,shoot,,,aup,,,self,,,,
,,,,,add_debuff,attack,,,slow,,,enemy,,,,
,,,,,add_debuff,add_slow,,,delayup,,,enemy,,,,
,,,c,骸骨弓士,buff_self,any,,,sup,,,self,,,,
,,,,,add_debuff,attack,,,slow,,,enemy,,,,
シャニ,M,161,1,真紅のヴァジュラ使い,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_all,own_skill,,,super_gauge_gain,,,all,,,,
,,,,,buff_all,kill,,,super_gauge_gain,,,all,,,,
,,,2,第四小隊の頭脳,buff_all,others_skill,job_fm,,asup_m,,,all,,,,
,,,c,紅き頭脳,buff_self,shoot,,,aup,,,self,,,,
,,,,,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,aup,,,self,,,,
エティス,M,162,1,彷徨う黒衣,buff_self,in_move,,,invisible,,,self,,,,
,,,,,buff_self,in_invisible,,,aup,,,self,,,,
,,,c,霧幻,against_debuff,any,,,guard_curse,,,self,,,,
,,,,,,,,,,,,,,,,
# 魔神ハハブ戦,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
チウウェン,F,224,1,尽忠報帝,against_debuff,any,,,guard_slow,,,self,,,,
,,,,,buff_self,boss_wave,,,asup,,,self,,,,
,,,2,豪放皿落,buff_self,any,,,aup,,,self,,,,
,,,,,buff_self,mana_lost,,,aup,,,self,,,,
,,,,,buff_self,others_skill,,,aup_m,,,self,,,,
,,,c,宴の後片付け,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,for_debuff,for_poison,,,aup,,,self,,,,
ハハブ,F,225,1,女帝気儘,mana,wave_start,,,slot_slow,,,resource,,,,
,,,,,buff_self,any,,,aup,,クリティカル率と攻撃速度低下,self,,,,
,,,2,置酒好戦,buff_self,with_slpu,,,aup,,,self,,,,
,,,,,buff_self,with_blpi,,,cup,,,self,,,,
,,,,,buff_self,with_armahe,,,dup,,,self,,,,
,,,,,buff_self,with_gush,,,rup,,,self,,,,
,,,c,宴の執行,buff_self,any,,,aup,,,self,,,,
,,,,,heal,attack,,,absorb,,,self,,,,
,,,,,,,,,,,,,,,,
アミーナ,K,129,1,天才役者の勇者演戯,against_debuff,any,,,guard_down,,,self,,,,
,,,,,buff_self,in_enemy_area,,,asup,,,self,,,,
,,,,,buff_self,in_base_area,,,dup,,,self,,,,
,,,,,heal,in_base_area,,,heal_cycle,,,self,,,,
,,,2,勇気が拓く勇者への道,buff_all,wave_start,,,dcup_m,,,all,,,,
,,,,,buff_self,link,,2名以上,aup,,,self,,,,
,,,c,天才役者の芝居,buff_self,any,,,aup,,,self,,,,
,,,,,against_debuff,any,,,guard_down,,,self,,,,
,,,,,,,,,,,,,,,,
# カジノディーラーフェス,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
コモディア,F,226,1,副都カジノの支配人,buff_self,in_enemy_area,,,asup,,,self,,,,
,,,,,buff_jobs,with_fa,include_self,3名以上,aup,,,job_fa,,,,
,,,,,resource,battle_end,,,goldup,,,resource,,,,
,,,2,デンジャーガール,against_debuff,any,,,reduce_poison,,,self,,,,
,,,,,against_debuff,any,,,reduce_weaken,,,self,,,,
,,,,,in_debuff,in_poison,,,sup,,,self,,,,
,,,,,in_debuff,in_weaken,,,sup,,,self,,,,
,,,,,in_debuff,in_blind,,,sup,,,self,,,,
,,,,,heal,in_debuff,,毒/衰弱/暗闇,heal_cycle,,,self,,,,
,,,c,スリルガール,in_debuff,in_poison,,,asup,,,self,,,,
