#名前,職,index,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,（入力補助用・名前）,スキル名,アビリティ1・名前,アビリティ2・名前,武器アビリティ・名前,絆アビリティ名
ニキ,A,12,踊り子見習い,3,8,2,Ar,first,guildtown,内田 真礼,mamuru,guildtown,Dancer,3750,2480,5350,4080,ニキ,守りの舞,祝福,,,戦闘作法・上級
エンヴィ,A,13,うら若き商才,3,8,2,Ar,first,guildtown,佐倉 綾音,秋津たいら,guildtown,Marchant,3700,2400,5300,4000,エンヴィ,ハードスナイプ,大商才,,,がまぐち
チャム＝チャム,A,14,お気楽奏者,3,8,2,Ar,first,oasis,内田 真礼,mamuru,oasis,Minstrel,4000,2470,5600,4070,チャム＝チャム,炎の英雄譚,プラス思考,,,起死回生
ヤーウッド,A,15,副都の戦術家,4,13,3,Ar,first,guildtown,福山 潤,木志田コテツ,guildtown,Strategist,5340,3150,7140,4950,ヤーウッド,地の利,万全の態勢,戦術家の戦い方,,戦術家の助け
ティフォ,A,16,千河の戦士,4,12,3,Ar,first,forest,小岩井 ことり,ネム,forest,Archer,5220,3000,7020,4800,ティフォ,レオファング,痺れ薬,万全の態勢,,千河の毒
リーニャ,A,17,木漏れ日の恩寵,4,12,3,Ar,first,forest,内田 真礼,ネム,forest,Archer,5150,3050,6950,4850,リーニャ,ヒールウィンド,マナの素養,慈愛,,癒しの木漏れ日
クラリス,A,18,復讐者,4,12,3,Ar,first,guildtown,小岩井 ことり,ネム,guildtown,Hunter,5140,3070,6940,4870,クラリス,ヘイトアロー,キルアップ,衝動,,復讐心
フィリップ,A,19,森の王者,4,12,3,Ar,first,guildtown,石田 彰,萩谷薫,guildtown,Ranger,5050,3200,6850,5000,フィリップ,レインアロー,森林戦闘,後方攻撃支援,,森王の導き
ウィリアム＝マサチューセッツ,A,20,“ミスリル・アイズ”,4,12,3,Ar,collaboration,loghorizon,中村 悠一,ハラカズヒロ,others,Assassin,5280,3200,7080,5000,ウィリアム＝マサチューセッツ,ラピッドショット,影王狼の革鎧,サイレントスナイパー,,ウルフスコープ
イッシー,A,21,漂泊の戦闘巫女,4,11,3,Ar,collaboration,trefle,石川 由依,あさぎり,guildtown,Archer,4200,3210,6600,5010,イッシー,ティルレーシア,荒地戦闘,破魔の呪符,,荒地歩行術
オネット,A,22,自動機械人形,5,18,4,Ar,first,mountain,加藤 英美里,hakus,mountain,Archer,7150,4210,9150,6210,オネット,ティルーユ・シュート,マシナリーメンテナンス,オートマタシミュレート,,マシナリーリカバリー
カルネロ,A,23,年代記の使徒,5,17,4,Ar,first,forest,石田 彰,黒葉.K,forest,Archer,6580,4350,8580,6350,カルネロ,サンクションズ,覚醒,豹の祝福,,野の利
アルミルス,A,24,執着の魔神,5,16,4,Ar,event,demon,小岩井 ことり,白亜右月,demon,Demon,5250,3400,8650,6200,アルミルス,プレヘンデーレ,魔神の波動,喪失への怒り,,執着心
ムジカ,A,25,伝説の歌姫,5,16,4,Ar,first,oasis,佐倉 綾音,麦白子,oasis,Minstrel,6430,3900,8430,5900,ムジカ,伝説の歌声,吸魂,響く音色,,安らぎの旋律
サーシャ,A,26,砂漠のアイドル,5,16,4,Ar,first,oasis,佐倉 綾音,Nardack,oasis,Dancer,6240,3700,8240,5700,サーシャ,太陽の舞,後方防御支援,流星の矢,,流星の導き
ハジャダ,A,27,千河の勇士,5,16,4,Ar,first,forest,佐倉 綾音,タイキ,forest,Hunter,6200,3750,8200,5750,ハジャダ,エスピアツィオーネ,目潰し,大物喰い,狩人の本能,千の矢
ファルリン,A,28,詩を紡ぐ者,5,16,4,Ar,first,oasis,佐倉 綾音,moc,oasis,Minstrel,6200,3800,8200,5800,ファルリン,砂城の詩,旅の秘訣,英雄を書き記す詩,,石竜子の詩
ブリサ,A,29,千河の遊撃手,5,16,4,Ar,first,forest,内田 真礼,kyo,forest,Archer,6140,3600,8140,5600,ブリサ,アンラッキーギフト,毒薬,酔弓,,酒精
カタリス,A,30,冒涜の魔神,5,16,4,Ar,event,demon,佐倉 綾音,前田ヒロユキ,demon,Demon,6000,4000,8000,6000,カタリス,ダークフレイザー,魔神の再生力,黒龍への愛,,再生力
ニーナ,A,31,無垢の暗殺者,5,16,4,Ar,ring,trade,小岩井 ことり,Nardack,guildtown,Assassin,5750,3450,7750,5450,ニーナ,サドゥンインパクト,暗殺者の身体,芽生えた感情,,暗殺者の秘薬
ティグレ,A,32,白き虎の使い,5,16,4,Ar,ring,trade,内田 真礼,クロサワテツ,forest,Archer,5800,3400,7800,5400,ティグレ,タイガーファング,毒薬,白虎の猛襲,,虎毒
パロマ,A,33,幼き森妖精,5,16,3,Ar,ring,trade,内田 真礼,秋津たいら,forest,Archer,5240,3000,7240,5000,パロマ,プリマヴェーラ,手当,守護獣探し,,森の祝福
アルティナ,A,34,銀の森の妖精姫,5,14,4,Ar,collaboration,shiningblade,井上 麻里奈,Tony,others,Princess,6100,3500,8100,5500,アルティナ,翠の森の精霊詩,エルフの掟,マナの天分,,エルフの教え
グレタ,A,35,流浪する花嫁,5,16,4,Ar,collaboration,mediafactory,野中 藍,屡那,others,Hunter,6210,4100,8210,6100,グレタ,アローサービス,お色直し,空回る女子力,,女子腕力
,,,,,,,,,,,,,,,,,,,,,,,
カトリ,P,1,若き癒し手,1,2,1,He,first,other,佐倉 綾音,田代ほけきょ,guildtown,Healer,1560,990,2960,2390,カトリ,キュア,,,,看護
マリナ,P,2,熱き癒し手,1,2,1,He,first,other,佐倉 綾音,クロサワテツ,volunteers,Healer,1650,1300,2850,2500,マリナ,ヒール,ダウン耐性,,,助手
ローザ,P,3,樹人,2,4,1,He,first,other,星野 早,moc,forest,Healer,2400,1500,3800,2900,ローザ,ハイヒール,,,,看護
ラティ,P,4,白の癒し手,2,4,1,He,first,other,内田 真礼,nunohito,guildtown,Healer,2250,1610,3650,3010,ラティ,ヒール,広き心,,,少し広い心
ケイト,P,5,トラブルシスター,2,4,1,He,first,guildtown,小岩井 ことり,ゆりんこ,holytown,Priest,2220,1690,3620,3090,ケイト,オートヒール,敬虔な祈り,,,助手
メルヴィナ,P,6,秘薬師,3,8,2,He,first,guildtown,佐倉 綾音,sime,guildtown,Merchant,3999,2800,5599,4400,メルヴィナ,解毒薬調合,毒耐性,,,毒耐性
ヨハン,P,7,隠密神官,3,8,2,He,first,holytown,石田 彰,文太,holytown,Priest,3900,2980,5500,4580,ヨハン,オートヒール,広き心,,,癒しの心
ロイ,P,8,放浪牧師,3,8,2,He,first,holytown,石田 彰,ワダアルコ,holytown,Priest,3800,3000,5400,4600,ロイ,キュア,敬虔な祈り,,,真心
ミノリ,P,9,“中学生巫女”,3,8,2,He,collaboration,loghorizon,田村 奈央,ハラカズヒロ,others,Kannagi,4100,2900,5700,4500,ミノリ,禊ぎの障壁,快癒の祈祷,,,護衛戦法
ウィヴェア,P,10,葡萄の樹人,4,13,3,He,first,forest,三上 枝織,富岡二郎（RED FS）,forest,Healer,5400,4000,7200,5800,ウィヴェア,オープンヒール,封印耐性,友愛のヴィンテージ,,迎え酒
セレージャ,P,11,桜の樹人,4,12,3,He,first,forest,内田 真礼,タイキ,forest,Healer,5380,3900,7180,5700,セレージャ,ブライトヒール,森林戦闘,再生,,爛漫
ヴァネッサ,P,12,不良治癒術師,4,12,3,He,first,guildtown,佐倉 綾音,moc,guildtown,Healer,5300,3800,7100,5600,ヴァネッサ,ハイヒール,癒しの基準,慈愛,,集中回復
ライラ,P,13,神秘の歌姫,4,12,3,He,first,oasis,小岩井 ことり,葉山えいし,oasis,Minstrel,5300,3500,7100,5300,ライラ,勇気の歌,慈愛,祝福,,神秘
パポラ,P,14,雪山の樹人,4,12,3,He,first,mountain,佐倉 綾音,村山竜大,mountain,Healer,5250,3450,7050,5250,パポラ,ウォームヒール,山地戦闘,凍結耐性,,雪の妖精
オリアーナ,P,15,医術師,4,12,3,He,first,academy,佐倉 綾音,sime,academy,Medic,5200,3500,7000,5300,オリアーナ,ナチュラルハイヒール,広き心,手当,,戦場医療術
アデル,P,16,聖都の良心,4,12,3,He,first,holytown,佐倉 綾音,sime,holytown,Priest,5100,3640,6900,5440,アデル,ハイヒール,敬虔な祈り,マナの素養,,慈悲深き心
アリエッタ,P,17,花の司祭,4,12,3,He,first,holytown,内田 真礼,秋津たいら,holytown,Priest,5050,3400,6850,5200,アリエッタ,ヘイストヒール,手当,安らぎの花,,花心
ノエル,P,18,盲目の神官,4,12,3,He,first,guildtown,小岩井 ことり,NA2-A5,guildtown,Priest,4900,3500,6700,5300,ノエル,オートハイヒール,敬虔な祈り,広き心,,決意の祈り
メイド長,P,19,,4,12,3,Sl,collaboration,maoyu,斎藤 千和,toi8,others,Servent,4500,3150,6900,5550,メイド長,毒針・二式,手当,メイド道,,メイドの仕事
スミレ,P,20,おっとり巫女,4,12,3,He,collaboration,other,田辺 留依,泉彩,volcano,Priest,4400,3300,6200,5100,スミレ,癒しの湯,広き心,電撃の湯,,番頭巫女
マリエール,P,21,“アキバのひまわり”,4,12,3,He,collaboration,loghorizon,原 由実,ハラカズヒロ,others,Cleric,5100,3600,6900,5400,マリエール,オーロラヒール,聖衣エウカリスト,セイクリッドウォール,,光のカーテン
タノウェイ,P,22,神託の僧侶,4,11,3,He,collaboration,trefle,田上 真里奈,あさぎり,guildtown,Healer,4030,3070,5830,4870,タノウェイ,オラクル,広き心,ぴぱぴぴぴ,,導きの声
ヘロディア,P,23,伝説を創る者,4,11,3,Pi,collaboration,mediafactory,三上 枝織,兎塚エイジ,others,StoryWriter,5150,3230,6950,5030,ヘロディア,セルフプロデュース,強引な取材,英雄資質,,密着取材
フィーナ,P,24,年代記の少女,5,16,4,He,first,other,佐倉 綾音,toi8,volunteers,Chronicler,4000,2800,9000,6800,フィーナ,クロノス,手当,義勇軍への声援,,フィーナの手当
リリス,P,25,救世の聖女,5,16,4,He,first,holytown,佐倉 綾音,ワダアルコ,holytown,Priest,6400,4500,8400,6500,リリス,セイントヒール,聖女の祈り,選別者の奇跡,,選別者の言葉
メイド姉,P,26,,5,16,4,He,collaboration,maoyu,戸松 遥,toi8,others,Servant,5800,4300,7800,6300,メイド姉,自由への演説,メイドの嗜み,勇者を継ぐ者,,メイドの手助け
,,,,,,,,,,,,,,,,,,,,,,,
ヨッタ＝ヨッタ,M,1,小間使い,1,2,1,Ma,first,other,内田 真礼,nunohito,mountain,Magician,1780,1000,2980,2200,ヨッタ＝ヨッタ,プチファイア,,,,懐刀
クリスティン,M,2,魔法学園生徒,1,2,1,Ma,first,other,内田 真礼,ネム,academy,Magician,1720,1040,2920,2240,クリスティン,プチマジック,,,,微光の剣
ゲッベルツ,M,3,魔導ギルド団員,1,2,1,Ma,first,other,柳田 淳一,hippo,academy,Magician,1700,1120,2900,2320,ゲッベルツ,ランダムディフェンス,,,,守備協力
ミーナ,M,4,魔法学園生徒,1,2,1,Ma,first,other,佐倉 綾音,HACCAN,academy,Magician,1670,1140,2870,2340,ミーナ,マジックランス,,,,守備協力
カルデア,M,5,穴掘り師,1,2,1,Ma,first,other,内田 真礼,村山竜大,academy,Magician,1650,1060,2850,2260,カルデア,ヒール,光明のお守り,,,光明のお守り
チャーノ,M,6,魔法使い傭兵,1,2,1,Ma,first,other,小岩井 ことり,クロサワテツ,academy,Magician,1590,1270,2790,2470,チャーノ,プチプロテクション,,,,守備協力
ハキム,M,7,みならい吟遊詩人,2,4,1,Ma,first,other,石田 彰,麦白子,oasis,Minstrel,2240,1420,3640,2820,ハキム,守りの応援歌,,,,守備協力
リーゼロッテ,M,8,魔法兵団,2,4,1,Ma,first,other,小岩井 ことり,DSマイル,academy,Magician,2200,1480,3600,2880,リーゼロッテ,マジックレイン,,,,秘密の巻物
パルナ,M,9,双子魔法使い,2,4,1,Ma,first,other,内田 真礼,まっつん！,academy,Magician,2100,1180,3500,2580,パルナ,アイススピア,一心同体の絆,,,炎の守り
プルナ,M,10,双子魔法使い,2,4,1,Ma,first,other,内田 真礼,まっつん！,academy,Magician,2100,1180,3500,2580,プルナ,ファイアスピア,一心同体の絆,,,氷の守り
シエン,M,11,お騒がせ三姉妹,3,8,2,Ma,first,forest,小岩井 ことり,葉山えいし,forest,Magician,4340,2430,5940,4030,シエン,トライダークネス,毒特効,,,対毒戦術
ゴルネッサ,M,12,蛇つかい,3,8,2,Ma,first,oasis,佐倉 綾音,小梅けいと,oasis,Dancer,4000,2450,5600,4050,ゴルネッサ,砂蛇の舞,リザードキラー,,,爬虫類百科
クラウス,M,13,魔法兵団隊長,3,8,2,Ma,first,academy,石田 彰,文太,academy,Magician,3999,2360,5599,3960,クラウス,アイススピア,氷の武器,,,氷の壁
ミニモ,M,14,精霊の導き,3,8,2,Ma,first,guildtown,小岩井 ことり,桑島黎音,guildtown,Magician,3900,2420,5500,4020,ミニモ,スパイラルランサー,手当,,,緊急治療
トト,M,15,炎の料理人,3,8,2,Ma,first,mountain,内田 真礼,マボ,mountain,Magician,3900,2400,5500,4000,トト,エンハンスファイア,炎の武器,,,炎の壁
フィオナ,M,16,魔法兵団,3,8,2,Ma,first,academy,内田 真礼,碧風羽,academy,Magician,3850,2390,5450,3990,フィオナ,ヘイトフレア,復讐,,,援護射撃
ビルギット,M,17,法務委員,3,8,2,Ma,first,guildtown,小岩井 ことり,ケロケロ齋藤,guildtown,Magician,3849,2400,5449,4000,ビルギット,マジックランス,マナの素養,,,援護射撃
ネルヴァ,M,18,占い師,3,8,2,Ma,first,guildtown,小岩井 ことり,naji,guildtown,Diviner,3800,2300,5400,3900,ネルヴァ,プロテクション,マナの素養,,,護衛戦法
アイザック,M,19,死出の案内人,3,8,2,Ma,first,academy,石田 彰,sime,academy,Magician,3780,2250,5380,3850,アイザック,マインドミラージュ,手当,,,暗闇耐性
ウーヴィア,M,20,魔法学園用務員,3,8,2,Ma,first,academy,佐倉 綾音,HACCAN,academy,Magician,3780,2250,5380,3850,ウーヴィア,クールシザーズ,慈愛,,,真心
ヨナ,M,21,二ツ星教授,3,8,2,Ma,first,academy,内田 真礼,みぶなつき,academy,Professor,3740,2490,5340,4090,ヨナ,ヒール,炎の武器,,,炎の壁
ルンデルハウス＝コード,M,22,“わんこ王子”,3,8,2,Ma,collaboration,loghorizon,柿原 徹也,ハラカズヒロ,others,Sorcerer,4200,2400,5800,4000,ルンデルハウス＝コード,オーブ・オブ・ラーヴァ,魔術師の籠手,,,援護射撃
マリク,M,23,魔法の絨毯職人,4,13,3,Ma,first,oasis,櫻井 孝宏,武城にしき,oasis,Smith,5460,3680,7260,5480,マリク,ブライトスクリーン,マナの素養,癒しの絨毯,,付与魔術
ディ・ロ,M,24,魔法学園墓守,4,13,3,Ma,first,academy,星野 早,HACCAN,academy,Guardian,5420,3700,7220,5500,ディ・ロ,オーバーリミット,死霊との疎通,墓守の悲哀,,熱いの嫌い
メラヒム,M,25,三ツ星教授,4,12,3,Ma,first,academy,石田 彰,ネム,academy,Professor,5240,3200,7040,5000,メラヒム,アイスランサー,氷の武器,研究オーラ,,毒物研究
ロクサーナ,M,26,言葉無き吟遊詩人,4,12,3,Ma,first,oasis,内田 真礼,ワダアルコ,oasis,Minstrel,5220,3410,7020,5210,ロクサーナ,声なき歌,旅の秘訣,演奏話術,,砂漠に響く歌声
パボア,M,27,孔雀の使い,4,12,3,Ma,first,forest,佐倉 綾音,DSマイル,forest,Magician,5200,3300,7000,5100,パボア,クジャクファイアー,森林戦闘,強気,,孔雀の住処
フィ＝フィ,M,28,炎の申し子,4,12,3,Ma,first,mountain,内田 真礼,ネム,mountain,Magician,5200,3100,7000,4900,フィ＝フィ,レッドフレイム,炎の武器,祝祭の炎,,炎の友達
シャクティ,M,29,魔性の商人,4,12,3,Ma,first,guildtown,小岩井 ことり,天野英,guildtown,Merchant,5160,3250,6960,5050,シャクティ,ディベート,強気,商人式管理術,,己が利
フェブリア,M,30,魔法兵団隊長,4,12,3,Pi,first,academy,佐倉 綾音,naji,academy,RuneFencer,5130,3420,6930,5220,フェブリア,ファイアシュート,剣術の心得,炎の武器,,炎の魔導剣術
ミラジェン,M,31,千河の奏者,4,12,3,Ma,first,forest,内田 真礼,麦白子,forest,Minstrel,5100,3220,6900,5020,ミラジェン,涼風の旋律,後方防御支援,手当,,厚情のセレナーデ
アイリ,M,32,呪術師,4,12,3,Ma,first,volcano,内田 真礼,kyo,volcano,Magician,5100,3190,6900,4990,アイリ,禁術・暗黒源流呪術,荒レタ地デ狂ウ黒竜,湧キ出ズル煉獄ノ炎,,荒レタ地デ猛ル幻獣
ナイエル,M,33,人気詩人,4,12,3,Ma,first,oasis,佐倉 綾音,麦白子,oasis,Minstrel,5050,3130,6850,4930,ナイエル,恋愛の歌,暗闇耐性,慈愛,,戦のバラード
クリオラ,M,34,からくり魔術師,4,12,3,Ma,first,mountain,佐倉 綾音,HACCAN,mountain,Magician,5030,3370,6830,5170,クリオラ,カガクのちから,魔導探知機,カガクブースター,,即席魔道探知機
エレミア,M,35,平凡なるメイド,4,12,3,Ma,first,academy,小岩井 ことり,DSマイル,academy,Servant,5000,3130,6800,4930,エレミア,メイド式治療術,マナの素養,メイドオブメイド,,汚れもの片付け
ビエンタ,M,36,千河の指揮官,4,12,3,Ma,first,forest,佐倉 綾音,DSマイル,forest,Magician,5000,3080,6800,4880,ビエンタ,全軍突撃命令,重圧魔法,戦術指揮,,大胆な指揮
イザヤ,M,37,二ツ星教授,4,12,3,Ma,first,academy,石田 彰,п猫R,academy,Professor,4900,3300,6700,5100,イザヤ,破滅の進撃,強気,魔導探知機,,レンタル魔道探知機
リック,M,38,復讐の霊刃使い,4,12,3,Sl,collaboration,shiningblade,神谷 浩史,Tony,others,RuneFencer,5300,3150,6900,5100,リック,火炎魔法剣・陣,復讐,霊刃使い,,霊刃剣術
火竜公女,M,39,,4,12,3,Ma,collaboration,maoyu,伊藤 静,toi8,others,Princess,5300,3150,7100,4950,火竜公女,火竜の吐息,炎の武器,竜の教え,,竜言
ルカナ,M,40,候補生,4,11,3,Ma,first,academy,佐倉 綾音,ワダアルコ,academy,Magician,5300,3150,7080,4900,ルカナ,フリージング,氷の武器,凍結,,冷気の流れ
レベッカ,M,41,候補生,4,11,3,Pi,first,academy,内田 真礼,ワダアルコ,academy,RuneFencer,5300,3150,7060,5180,レベッカ,バーニングランス,剣術の心得,気分屋の本気,,魔道剣術
ミイナ,M,42,星降る魔法使い,4,11,3,Ma,collaboration,trefle,高橋 未奈美,あさぎり,guildtown,Magician,4220,2560,6620,4360,ミイナ,シュポル・ボンボン,窮鼠,気配り上手,,星魔法
ブルワリー,M,43,副都の相談役,5,17,4,Ma,first,guildtown,沢城 みゆき,ひと和,guildtown,Bartender,6750,4050,8750,6050,ブルワリー,アイスクラッシュ,癒しの雫,フルアップマジック,,副都の止まり木
フィリアナ,M,44,魔法学園生徒会長,5,17,4,Ma,first,academy,佐倉 綾音,HACCAN,academy,Magician,6650,4210,8650,6210,フィリアナ,アルディスペル,生徒会長の自信,カリスマによる戦略,,生徒会指導
シューレ,M,45,スイーツ魔法戦士,5,17,4,Sl,first,academy,三上 枝織,桑島黎音,academy,RuneFencer,6610,4480,8610,6480,シューレ,ブラウニーカット,マジカルコンポート,もぐもぐ,,ひとくちあげる
アエル・グルン,M,46,稲妻の魔神,5,16,4,Ma,event,demon,小清水 亜美,ひと和,demon,Magician,5500,3300,8500,6300,アエル・グルン,ブルーレンブリッツ,魔神の再生力,竜魂の解放,,竜魂の伝播
イスレム,M,47,氷の魔導人形,5,16,4,Ma,first,mountain,内田 真礼,村山竜大,mountain,Magician,6480,3800,8480,5800,イスレム,アイスストーム,氷の武器,凍結,,永遠氷
アルドラ,M,48,万象の魔導師,5,16,4,Ma,first,guildtown,内田 真礼,萩谷薫,guildtown,Magician,6400,3800,8400,5800,アルドラ,ユニヴェール,剣術の心得,マナの天分,万象を司る者,万象の理
ヴェルナー,M,49,魔法兵団師団長,5,16,4,Ma,first,academy,柳田 淳一,天野英,academy,Magician,6400,3700,8400,5700,ヴェルナー,ヴォルケーノ,戦闘狂,破壊の愉悦,,破壊の波動
カティア,M,50,魔法兵団師団長,5,16,4,Sl,first,academy,内田 真礼,ひと和,academy,RuneFencer,6300,3900,8300,5900,カティア,ソードスペル,剣術の心得,守る者のために,,剣術のてほどき
ユニ,M,51,魔法兵団隊長,5,16,4,Sl,first,academy,小岩井 ことり,NPA,academy,RuneFencer,6200,3770,8200,5770,ユニ,アブソリュートゼロ,魔法戦士の戦闘技能,貫通魔法,,氷の封印
メフルナーシュ,M,52,砂の精霊使い,5,16,4,Ma,ring,trade,内田 真礼,ns,oasis,Dancer,5750,3450,7750,5450,メフルナーシュ,精霊の舞,精霊の囁き,真理への導き,,精霊の風
イザベル,M,53,候補生,5,14,4,Ma,first,academy,小岩井 ことり,ワダアルコ,academy,Magician,6270,3750,8270,5750,イザベル,ブリザードニードル,強気,マナの素養,,氷のマナ
チアリー,M,54,候補生,5,14,4,Ma,first,academy,小岩井 ことり,ワダアルコ,academy,Clown,6100,3500,8100,5500,チアリー,トリックマジック,ムードメーカー,奇術の奥義書,,奥義書の写し
カレン,M,55,候補生,5,14,3,Sl,first,academy,佐倉 綾音,ワダアルコ,academy,RuneFencer,6000,3800,8000,5800,カレン,フレイムソード,応急処置,誤った素養,,意外な才能
ミスティ,M,56,海賊令嬢,5,16,4,Ma,collaboration,shiningblade,田村 ゆかり,Tony,others,Magician,6100,3600,8100,5600,ミスティ,紅き情熱の唄,強気,お宝好き,,お宝への嗅覚
魔王,M,57,,5,16,4,Ma,collaboration,maoyu,小清水 亜美,toi8,others,Demon,6300,3800,8300,5800,魔王,魔王の戦闘指揮,家計簿,学士の教え,,戦闘経済学
ロビン,M,58,少女の敵の敵,5,16,4,Ma,collaboration,mediafactory,佐藤 聡美,緋鍵龍彦,others,Priest,6320,3900,8320,5900,ロビン,チャームロリータ,楽しい折檻,少女の魅力,,折檻メモ
シロエ,M,59,“腹ぐろ眼鏡”,5,16,4,Ma,collaboration,loghorizon,寺島 拓篤,ハラカズヒロ,others,Enchanter,6100,3700,8100,5700,シロエ,ソーンバインド・ホステージ,アストラルバインド,全力管制戦闘,,全力管制援護
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
フラウ,M,60,実践付与術師,5,16,4,Ma,ring,trade,原 由実,かる,guildtown,Magician,5740,3420,7740,5420,フラウ,プラスインパルス,溢れるアイディア,お騒がせ付与魔法,,最後方攻撃支援
ルクレチア,A,36,極彩の射手,5,18,4,Ar,first,oasis,斎藤 千和,武城にしき,oasis,Archer,6800,3940,8800,5940,ルクレチア,剛弓彩花,極彩色の悪魔,暗殺者の快楽,,暗殺の技術
チワ,M,61,研究する犬娘,5,17,4,Ma,first,mountain,野中 藍,竜徹,mountain,Magician,6540,4000,8540,6000,チワ,フォイヤーヴェルク,義勇軍のマスコット,真紅と群青の炎,,赤と青
オーロラ,K,47,隻眼の剣士,5,18,4,Sl,first,guildtown,斎藤 千和,hakus,guildtown,Knight,6340,7580,8340,9580,オーロラ,黒薔薇の剣戟,極光の長剣術,雪辱の誓い,,黒薔薇の花びら
ラスフィア,M,63,死霊の魔神,5,20,4,Ma,event,demon,小岩井 ことり,ネム,demon,Demon,5270,3420,8670,6520,ラスフィア,ライフエミッション,魔神の回生力,ソウルペネトレイト,,回生力
ミジョカ,M,62,孤島訛りの魔法使い,4,12,3,Ma,collaboration,other,古木 のぞみ,まごまご,dawnsea,Magician,5250,3200,7050,5000,ミジョカ,ダウンバースト,天才のひらめき？,ひたむきな努力,,追い打ち
シェラザード,F,80,砂漠の宝石,5,16,4,Sl,ring,trade,星野 早,四々九,oasis,SwordMaster,5200,5440,7200,7440,シェラザード,舞うエーデルローゼ,砂漠に舞う薔薇,磨かれる宝石,,デザートジュエル
ロロ,K,48,炎の勇者,5,18,4,Sl,event,festival,内田 真礼,村山竜大,mountain,Knight,6500,7500,8500,9500,ロロ,炎牙,炎の咆昂,火妖精の英雄,,炎の籠手
ハティ,M,64,残されし欠片,5,18,4,Ma,event,festival,沢城 みゆき,sime,others,Magician,6700,5500,8700,7500,ハティ,石板大回転,真理の石片,石板の共鳴,,石板打撃術
ハティファス,M,65,真理の魔神,5,20,4,Ma,event,demon,沢城 みゆき,sime,demon,Demon,4780,3440,8580,6240,ハティファス,イグノランス,魔神の波動,幽遠の智慧,,魔神の天運
ソロ,A,37,灰狐の射手,5,16,4,Ar,ring,trade,福山 潤,文太,forest,Archer,5840,3500,7840,5500,ソロ,グレイファング,均衡を望む弓,冷静な識者,,進行阻止
,,,,,,,,,,,,,,,,,,,,,,,
# チェインストーリーフェス,,,,,,,,,,,,,,,,,,# チェインストーリーフェス,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
アオイ,P,27,鬼巫女,5,16,4,He,first,volcano,佐倉 綾音,Nardack,volcano,Priest,6000,4700,8000,6700,アオイ,法術森羅万象,マナの天分,鬼道,,鬼巫女の秘儀
ルーク,F,81,狂戦士,5,18,4,Bl,first,guildtown,石田 彰,黒葉.K,guildtown,Berserker,6580,6940,8580,8940,ルーク,殲滅槌,黒ノ狂撃,人間として,,黒化
オルドレード,K,49,禍の騎士,5,18,4,Sl,first,holytown,石田 彰,黒葉.K,holytown,Paladin,6700,7200,8700,9200,オルドレード,ベルセルクオーダー,禍騎士の天命,狂戦士の楔,,狂戦士の波動
カデッサ,K,50,灰白の騎士,4,13,3,Sl,first,holytown,内田 真礼,黒葉.K,holytown,Paladin,5200,5720,7000,7520,カデッサ,闇を喰らう灰牙,疾風の灰戦士,灰白の狂戦士,,灰白の心
,,,,,,,,,,,,,,,,,,,,,,,
# 2部,,,,,,,,,,,,,,,,,,# 2部,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
主人公,F,82,（2部）,5,0,0,Sl,second,other,石田 彰,toi8,volunteers,Warrior,6000,6000,,,主人公,クロノブレード,絆が見せる光,義勇軍の絆,,隊長の声
カイン,K,51,善良なる騎士,4,8,2,Sl,second,other,内田 真礼,竜徹,volunteers,Knight,4300,4700,,,カイン,エフォルスラッシュ,一続きの物語＜夢＞,守り手の使命,,騎士の心がけ
ミシディア,A,38,頼れる弓兵長,4,8,2,Ar,second,other,内田 真礼,ricci,volunteers,Archer,4700,3200,,,ミシディア,オーラショット,一続きの物語＜志＞,射手の使命,,狙い撃ち
マリナ,P,28,熱き司祭,4,8,2,He,second,other,佐倉 綾音,クロサワテツ,volunteers,Healer,4600,3200,,,マリナ,エンジェルヒール,一続きの物語＜想＞,癒し手の使命,,熱き治療術
,,,,,,,,,,,,,,,,,,,,,,,
イナミ,M,66,九尾の少女,5,16,4,Ma,ring,random,加藤 英美里,ひと和,forest,Sorcerer,6000,3600,8000,5600,イナミ,ルクルフレイム,狐火,九尾の妖力,,九尾の助力
,,,,,,,,,,,,,,,,,,,,,,,
オルカ,K,52,三叉槍の戦姫,5,19,4,Pi,second,forest_sea,井口 裕香,タイキ,forest_sea,Knight,6900,7700,8900,9700,オルカ,ブルーオーシャン,夕凪の導き,狩人の戦列,,大物狩り
ルーラ,F,83,七彩の豹紋蛸,5,19,4,Sl,second,forest_sea,緑川 光,武城にしき,forest_sea,Fighter,7350,6650,9350,8650,ルーラ,オリジナルエイト,不意のオシオキ,異彩の美意識,,美の伝道
サーポ,M,67,大海の知恵者,5,19,4,Ma,second,forest_sea,柿原 徹也,竜徹,forest_sea,Magician,6780,4250,8780,6250,サーポ,竜神の怒り,急がば回れ,乙姫の加護,,乙姫の贈り物
