#名前,職,index,スキル名,スキル・マナコスト,条件,スキル・カテゴリ,スキル・サブカテゴリ,スキル・追加効果1,スキル・追加効果2,スキル・追加効果3,スキル・追加効果4,スキル・追加効果5,備考
苗木誠,F,120,ロンパ,1,,attack,range_self,,,,,,
召使い,F,121,希望の為の犠牲,2,,attack,range_explosion,,,,,,
十神白夜,A,56,羨望の発言力,1,,buff,all,atkup,defdown,,,,
腐川冬子,P,35,妄想ドリーム,1,,heal,all_instant,cure_weaken,,,,,
モノクマ,F,122,モノクロノブレード ,2,,attack,one_dash,,,,,,
,,,,,,,,,,,,,
セガサターン,M,83,ツインスティック,1,,attack,range_line,,,,,,
ビジュアルメモリ,P,36,リキッドクリスタル,2,,heal,all_instant,cure_blind,,,,,
ゲームギア,M,84,レインボウビジョン,3,,attack,range_forward,fire,,,,,
,,,,,,,,,,,,,
シャーリー,M,85,ブラステッド,3,,attack,range_drop,,,,,,
セラカ,K,65,エインシェントクロス,3,,attack,range_self,add_push,,,,,
バリキ,F,123,剛爆熱波紅蓮斬,3,,attack,one_short,fire,,,,,
キャス,M,86,クリムゾンロッド,2,,attack,range_dash,,,,,,
エフィメラ,M,87,エアリアル,3,,attack,range_self,add_push,,,,,
,,,,,,,,,,,,,
# 砂漠の秘宝,,,,,,,,,,,,,
,,,,,,,,,,,,,
カリファ,K,66,アブルアクラ,2,,attack,one_short,add_down,,,,,
ムニール ,F,124,シャトバール,2,,attack,range_self,ice,,,,,
タリシュガ,F,125,ジハーブ,1,,attack,range_dash,,,,,,
シェスメト,M,88,インバラトゥーラ,1,,attack,range_drop,,,,,,
,,,,,,,,,,,,,
シュラッカ,A,57,めておしゅーと,3,,attack,one_random,add_down,,,,,
,,,,,,,,,,,,,
# 閃の軌跡IIコラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
リィン,F,126,蒼焔の太刀,2,,attack,one_combination,fire,add_push,,,,
アリサ,A,58,ジャッジメントアロー,2,,attack,range_random,,,,,,
,,,,forward,,attack,one_line,,,,,,
ラウラ,K,67,真・洸刃乱舞,3,,attack,one_combo,,,,,,
,,,,forward,,attack,range_self,,,,,,
フィー,F,127,シルフィードダンス,2,,attack,one_dash,,,,,,
,,,,forward,,attack,range_self,,,,,,
トワ,A,59,レインボーショット,1,,attack,range_line,,,,,,
クレア,A,60,フリジットレイン,2,,attack,range_drop,ice,add_freeze,,,,
エリオット,P,37,レゾナンスビート,2,,heal,all_cycle,,,,,,
,,,,,,,,,,,,,
ドリームキャスト,K,68,ドリームブレイド,2,,attack,range_forward,,,,,,
,,,,,,,,,,,,,
# 2部3章,,,,,,,,,,,,,
,,,,,,,,,,,,,
ユギギ,F,128,クロキハカイノツメ　,2,,attack,one_combination,,,,,,
テリリア,F,129,コマンドフェッチ,1,,attack,range_line,,,,,,
シェギギム,F,130,ローリングフェイス,3,,attack,range_self,add_down,,,,,
グララオ,F,131,タイガーアッパー,2,,attack,one_short,add_down,,,,,
,,,,,,,,,,,,,
チロルル,F,132,オーダーメイド,1,,buff,all,atkup,,,,,
オウララ,F,133,クールランス,2,,attack,range_line,ice,,,,,
キココナ,F,134,フォックステイル,2,,attack,range_self,,,,,,
ディシシヤ,F,135,ビーストラッシュ,2,,attack,one_combo,,,,,,
レジジ,F,136,序ノ撃・獣痺拳,1,,attack,one_short,,,,,,
リジジ,F,137,終ノ撃・獣飛掌,2,,attack,range_line,add_push,,,,,
ニュガガス,M,89,炎精大召喚,3,,attack,range_drop,fire,,,,,
,,,,,,,,,,,,,
ラミミス,F,138,オーバーヒート,3,,attack,range_forward,fire,,,,,
ネジジア,F,139,ラストスクラッチ,1,,attack,one_combo,,,,,,
ゼシシラ,F,140,キャットベール,1,,buff,self,atkup,,,,,毒/スロウ/暗闇無効
クルルア,A,61,バリューショット,2,,attack,one_rear,add_slow,,,,,
ニリリス,M,90,殺生石杖,1,,attack,range_forward,add_poison,,,,,
パモモイ,M,91,ブラインシュート,2,,attack,range_line,add_blind,,,,,
ユルルガ,M,92,フォーユピテル,3,,attack,one_line,,,,,,
フリリム,P,38,ヘイストヒール,1,,heal,all_instant,cure_slow,,,,,
ミリリア,P,39,オートヒール,1,,heal,all_cycle,,,,,,
,,,,,,,,,,,,,
ジルルア,F,141,ハンドナックル,1,,attack,one_short,,,,,,
ビゾゾエ,A,62,ビゾゾエリサイタル,2,,song_dance,add_poison,,,,,,
コルルリ,A,63,狼少女の叫び,2,,buff,all,atkup,,,,,
,,,,,,,,,,,,,
リンセ,F,142,ニャインライブス,1,,attack,one_combo,,,,,,
ニコル,M,93,ハッピーギフト,1,,heal,all_instant,,,,,,
,,,,forward,,barrier,all,guard_ice,guard_freeze,,,,
,,,,,,,,,,,,,
# 魔神フロガビトゥス戦,,,,,,,,,,,,,
,,,,,,,,,,,,,
ギン,F,143,連舞・姫檜扇,2,,attack,one_combination,,,,,,
ドルテ,F,144,ファンククラッシュ,1,,attack,range_explosion,,,,,,
フロガビトゥス,K,69,アステイオス,2,,attack,range_line,add_push,,,,,
,,,,,,,,,,,,,
ツガル,F,145,雷光手奏法,1,,song_dance,speedcritup,,,,,,HP半分以下で効果時間延長
メリオ,A,64,スリーピングシープ,2,,attack,one_line,add_down,,,,,
,,,,,,,,,,,,,
# 九領外伝フェス,,,,,,,,,,,,,
,,,,,,,,,,,,,
ズイハ,A,65,大弓天をも穿つ,2,,attack,one_line,pain,,,,,HPが高いほど威力上昇
シドウ,F,146,裏式・闇時雨,3,,attack,one_combo,,,,,,
ユミコ,M,94,冥導黒衝波,1,,attack,one_line,add_curse,,,,,
,,,,,,,,,,,,,
アイレ,A,66,ディヴェント,1,,buff,all,atkup,,,,,
,,,,forward,HP100%,attack,one_line,,,,,,
,,,,,,,,,,,,,
# 魔神タリビク戦,,,,,,,,,,,,,
,,,,,,,,,,,,,
ファルナーズ,K,70,アパッショナート,2,,attack,range_self,,,,,,
タリビク,A,67,ア・ピアチェーレ,1,,song_dance,atkspeedup,,,,,,
,,,,forward,,buff,self,atkup,,,,,
,,,,,,,,,,,,,
ヴェスパ,K,71,レジナ・デル・ベレーノ,1,,attack,range_forward,add_poison,,,,,
ドゥルセ,M,95,ドルチェフェスタ,2,,barrier,all,guard_blind,guard_slow,guard_weaken,,,
,,,,forward,,attack,range_all,charge,,,,,
,,,,,,,,,,,,,
# ラジオコラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
リヒト,P,40,グランツァイト,1,,attack,range_forward,,,,,,
ファルベ,M,96,シーセン・ハイト,2,,attack,range_line,heal_all,,,,,
ハンフ,F,149,フォル・モーント,2,,attack,range_jump,add_push,,,,,
ロッソ＝ロッソ,F,150,シアリングブラッド,2,,attack,range_self,fire,add_push,,,,
レミラ,K,72,兵糧補給,2,,heal,all_instant,cure_poison,,,,,
リノセ,K,73,突進,2,,attack,range_dash,add_push,,,,,
ザイド,A,68,トラースホッブ,2,,attack,range_random,,,,,,
ヨイチ,A,69,朧一,1,,attack,range_forward,,,,,,
パルマー,M,97,ブレインストーム,1,,attack,range_line,,,,,,
,,,,,,,,,,,,,
# 羽ばたく自由の鷹,,,,,,,,,,,,,
,,,,,,,,,,,,,
ミノア,K,74,ピュリファイスピア,2,,attack,range_dash,add_push,,,,,
レリアン,K,75,イグゼキュート,2,,attack,range_forward,,,,,,
ソール,K,76,ラストスタンド,1,,buff,all,defup,,,,,HP半分以下で効果時間延長
ディード,K,77,スカイハイトヴィント,3,,attack,one_combo,add_slow,,,,,
,,,,forward,,attack,range_dash,add_push,,,,,
,,,,,,,,,,,,,
マスターシステム,A,70,サラウンドサウンドシャワー,1,,song_dance,defup,guard_fire,,,,,
エールイ,M,98,アイスカタフラクト,2,,buff,all,add_ice,defup,,,,
,,,,,,,,,,,,,
# 2部4章,,,,,,,,,,,,,
,,,,,,,,,,,,,
タチアナ,A,71,ポイズンプリズン,1,,area,continual,add_poison,,,,,
アリシア,A,72,デス・ガンプリズン,2,,area,continual,add_slow,,,,,
,,,,forward,,attack,range_random,,,,,,
ボムボマー,A,73,カタストロフ,1,,area,bomb,fire,add_blind,,,,
ドーリィ,A,74,イノセンクロス,2,,attack,one_line,,,,,,
,,,,forward,,attack,range_blast,,,,,,
,,,,,,,,,,,,,
ゾーイ,F,147,ブラッドリッパー,1,,attack,range_self,,,,,,
ヴァリー,F,148,デュエルプリズン,1,,area,defdown,,,,,,
,,,,forward,,attack,one_combo,,,,,,
セスト,A,75,スナイプテリトリー,2,,area,atkup,,,,,,
,,,,forward,,attack,one_line,shield_break,,,,,
キース,A,76,クイックボム,1,,area,bomb,add_poison,,,,,
エレオノーラ,A,77,ダークプリズン,1,,area,continual,add_blind,,,,,
エリシャ,P,41,リアクティブハイヒール,2,,heal,all_reaction,,,,,,
,,,,,,,,,,,,,
イラリオン,F,151,エンディスラフト,1,,attack,one_short,add_slow,,,,,
ハーディー,F,152,ファルバルフォール,2,,attack,one_combo,add_poison,,,,,
ジェラルド,K,78,ヴァンスサーベル,2,,attack,range_forward,add_blind,,,,,
レオン,K,79,ジャリアチャージ,2,,attack,range_dash,add_push,,,,,
ローゼマリー,K,80,ワードレスカット,1,,attack,range_self,,,,,,
アンセルム,A,78,ストリングスショット,2,,attack,one_line,kill_pierce,,,,,
ゼハティ,A,79,ブレイクショット,1,,attack,one_line,shield_break,,,,,
ヴィリヘルム ,P,42,オープンヒール,1,,heal,all_instant,cure_seal,,,,,
カミラ,M,99,天の怒り,3,,attack,range_all,charge,,,,,
,,,,,,,,,,,,,
チョコロロ,F,153,ラピッドラッシュ,1,,attack,one_combo,,,,,,
サンディ,A,80,デッドライティング,1,,attack,one_line,add_poison,,,,,
ザカリー,A,81,ポジティブショット,2,,attack,one_line,,,,,,
,,,,,,,,,,,,,
セガ・マークIII,A,82,ゴールドカートリッジ,2,,attack,range_random,fire,,,,,
,,,,,,,,,,,,,
# 七つの大罪コラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
メリオダス,K,81,神千斬り,2,,attack,one_combo,fire,,,,,
,,,,forward,,attack,range_line,fire,,,,,
バン,F,154,バニシング・キル,3,,attack,one_combo,,,,,,
,,,,forward,,attack,range_line,add_push,,,,,
キング,M,100,炸裂する刃雨,2,,attack,range_line2,,,,,,
,,,,forward,,attack,range_line,,,,,,
ディアンヌ,F,155,大地の怒号,2,,area,obstacle,,,,,,
,,,,forward,,attack,range_forward,,,,,,
ホーク,F,156,スーパー・ロース・イリュージョン,1,,attack,range_line,,,,,,
ギルサンダー,K,82,雷帝の鉄槌,3,,attack,one_short,add_slow,add_down,add_push,,,
エリザベス,P,43,巫女の力,1,,heal,all_instant,cure_down,,,,,
,,,,,,,,,,,,,
ルーノ,K,83,ホーリーレイ,2,,attack,range_drop,,,,,,
,,,,,,,,,,,,,
# 討伐戦,,,,,,,,,,,,,
,,,,,,,,,,,,,
ハルアキ,F,157,霞の刃・晴嵐,1,,attack,one_combo,,,,,,HP半分以上で威力上昇
トウカ,F,158,無音の剣・雪時雨,2,,attack,range_dash,add_push,,,,,
イザヤ,M,101,終焉の福音,2,,attack,range_line2,,,,,,
,,,,forward,,barrier,all,,,,,,
ビエンタ,M,102,オープンコンバット,1,,attack,one_line,,,,,,
ラビィ,K,84,エアスラッシュ,1,,attack,range_forward,,,,,,
フェイスレス,A,83,ジョーカーフラッシュ,2,,attack,range_forward,add_push,,,,,
ミニモ,M,103,ジェンティレッツァ,1,,attack,one_line,heal_all,,,,,
ラファーガ,F,159,ギガインパクト,3,,attack,one_short,add_push,,,,,
,,,,,,,,,,,,,
カスガ,F,160,看板娘の腕っぷし,1,,attack,range_line,add_slow,,,,,
,,,,,,,,,,,,,
# 大海チェインストーリーフェス,,,,,,,,,,,,,
,,,,,,,,,,,,,
マレーナ,F,161,ライトニングピアス,2,,attack,one_dash,return_position,,,,,
クララ,M,104,パロスパルサー,2,,attack,one_line,heal_all,,,,,
オーガスタス,A,84,ダブルアクション,1,,buff,self,delayoff,atkdown,,,,
,,,,,,,,,,,,,
ノエル,P,44,オートハイヒール,2,,heal,all_cycle,,,,,,
,,,,,,,,,,,,,
# 魔神アルフィン戦,,,,,,,,,,,,,
,,,,,,,,,,,,,
シャウナ,M,105,シューティング・クエーサー,2,,attack,one_line,,,,,,
,,,,forward,,attack,range_blast,,,,,,
アルフィン,M,106,ピースハンマー,2,,attack,one_short,add_push,add_down,,,,HP半分以下で魔法属性＋ダウン追加
,,,,,,,,,,,,,
モルシェラ,A,85,アルシャトレッロ,3,,attack,range_random,,,,,,
,,,,,,,,,,,,,
# 監獄カジノオープン,,,,,,,,,,,,,
,,,,,,,,,,,,,
キャンディス,A,86,ピンホールショット,1,,attack,one_line,kill_pierce,,,,,
バラクーダ,F,162,シガントテラー,2,,attack,range_dash,add_poison,,,,,
コラール,M,107,バーストコルノ,1,,attack,range_forward,,,,,,
,,,,,,,,,,,,,
# 迷宮山脈とゴブリンの王国,,,,,,,,,,,,,
,,,,,,,,,,,,,
ルチア,F,163,クレッシェレ,1,,attack,one_short,,,,,,マナ保持で威力上昇
グリダ,F,164,スプレンドーレ,2,,attack,range_self,add_push,,,,,
ピピ,M,108,ウィントフラム,2,,attack,range_drop,fire,,,,,
オルガ,F,165,グランドプレス,2,,attack,range_self,charge,,,,,
,,,,,,,,,,,,,
ガーランド,K,85,リバースポイニクス,1,,attack,range_forward,fire,,,,,
,,,,either,HP半分以下,barrier,self,invincible,,,,,
,,,,,,,,,,,,,
# 500万DL記念,,,,,,,,,,,,,
,,,,,,,,,,,,,
ファティマ,M,109,スターマイン,3,,attack,laser,,,,,,
,,,,,,,,,,,,,
# 2部5章,,,,,,,,,,,,,
,,,,,,,,,,,,,
リン,M,110,アレティスク,3,,attack,range_random,,,,,,
ピノ,M,111,レクスフラング,2,,buff,self,restoration,atkup,,,,返還：3体で1つ
セト,M,112,ミラージュファンタズム,2,,area,field,,,,,,
,,,,either,フィールドが砂浜,attack,range_line2,,,,,,
ラナ,M,113,シャイニーボルト,1,,attack,range_drop,add_slow,,,,,
,,,,forward,発動時マナ7つ以上,attack,one_random,add_slow,,,,,
ザラ,M,114,リミットフレイム,3,,attack,range_explosion,,,,,,
トア,P,45,エクストラヒーリング,1,,heal,all_cycle,cure_poison,cure_blind,cure_slow,,,
,,,,,,,,,,,,,
キリ,F,166,グランスラッシュ,2,,attack,range_jump,,,,,,
アト,K,86,プロテクトレイ,1,,barrier,all,guard_blind,guard_weaken,,,,
アン,A,87,ミックスクラム,2,,buff,self,restoration,atkup,,,,返還：4体で2つ
テラ,P,46,ビルドヒール,1,,heal,all_instant,atkup,,,,,
ドリ,M,115,エポックドロー,1,,area,field,,,,,,
,,,,either,フィールドが森林,attack,range_line,,,,,,
ロズ,M,116,アストフラム,3,,buff,self,restoration,atkup,,,,返還：5体で3つ
,,,,,,,,,,,,,
ジリ,F,167,ウィンドブレード,2,,attack,one_dash,add_push,,,,,
コト,F,168,エリアルナックル,2,,attack,one_short,add_down,add_push,,,,
ルイ,P,47,プロテクトヒール,2,,heal,all_instant,defup,,,,,
ハグ,P,48,ホワイトヒール,1,,heal,all_instant,cure_blind,,,,,
サニ,M,117,アストラルシュート,2,,attack,range_line2,,,,,,
ケナ,M,118,フォトンクラック,2,,attack,range_line,add_slow,,,,,
ジズ,M,119,ショックウェイブ,1,,attack,range_forward,,,,,,
シナ,M,120,アークストリーム,3,,attack,range_drop,,,,,,
キア,M,121,リーサルスペル,2,,attack,range_explosion,,,,,,
フイ,M,122,オーラヴィジョン,1,,barrier,all,guard_blind,guard_slow,,,,
ナリ,M,123,ミスティフレア,2,,buff,self,restoration,atkup,,,,返還：3体で2つ
チル,M,124,シュガーランス,1,,attack,range_line,,,,,,
ラス,M,125,アルティシュート,3,,attack,range_line,,,,,,
,,,,,,,,,,,,,
ルト,F,169,ブレイブセバー,1,,attack,one_short,,,,,,
ネノ,M,126,フレアオーラ,1,,attack,range_line,fire,,,,,
カヌ,M,127,リバイタライズ,2,,buff,all,atkup,,,,,
,,,,,,,,,,,,,
# 魔神タクリタン戦,,,,,,,,,,,,,
,,,,,,,,,,,,,
シュレン,F,170,帝蓮刃,2,,attack,one_combination,,,,,,HP半分以下で威力上昇
フリーダ,M,128,アルケーブウェイン,2,,attack,one_line,,,,,,
,,,,either,発動時マナ4つ以上,attack,range_drop,,,,,,
マトイ,F,171,忍法ソラカケ,3,,attack,one_jump,,,,,,
ハヤテ,F,172,護刀・疾風斬,1,,attack,one_combo,,,,,,
パルゥ,A,88,ヴェノムフィア,1,,attack,range_random,add_poison,,,,,
タクリタン,M,129,ベスニーヴァ,1,,area,field,,,,,,
,,,,either,フィールドが異空間,attack,range_drop,,,,,,
,,,,,,,,,,,,,
レガレ,M,130,レガーロアリーガ,3,,attack,one_line,add_push,,,,,
,,,,,,,,,,,,,
# 2周年記念,,,,,,,,,,,,,
,,,,,,,,,,,,,
ロレッタ,F,173,デストロイブレーカー,2,,attack,one_short,,,,,,
,,,,forward,,attack,range_drop,shield_break,,,,,
ニンファ,F,174,ハッピーブレイズ,1,,attack,range_self,,,,,,
,,,,either,発動時マナ7つ以上,attack,one_short,,,,,,
アルドラ,M,131,ヴィレユニヴェール,2,,attack,range_all,,,,,,
,,,,forward,,area,atkup,,,,,,
ナックル,K,87,ゴールデンタックル,1,,attack,range_line,add_push,,,,,
,,,,,,,,,,,,,
# ケ者チェインストーリーフェス,,,,,,,,,,,,,
,,,,,,,,,,,,,
ガルルア,F,175,ガルルスライス,3,,attack,one_combo,,,,,,
シャロララ,F,176,ピーティクルリット,2,,attack,range_jump,,,,,,
,,,,forward,発動時マナ4つ以上,attack,range_jump,,,,,,
フォリリネ,F,177,リグナ・ルナール,1,,attack,range_short,add_push,,,,,
ザリリオ,F,178,デリスダンク,3,,attack,range_self,add_slow,,,,,
,,,,,,,,,,,,,
アスルトル,F,179,マレディクスィオン,3,,attack,one_short,add_curse,,,,,
,,,,,,,,,,,,,
# ブレイブフロンティアコラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
ヴァルガス,F,180,イグニードヴァイザー,2,,attack,one_combination,fire,,,,,
ルナリス,M,132,マルチバース,1,,attack,range_self,add_blind,,,,,
セリア,F,181,ガーネットブレイザー,1,,attack,range_forward,fire,,,,,
カル,K,88,真・魔神蒼破斬,2,,attack,one_short,ice,,,,,
,,,,forward,,attack,range_self,ice,,,,,
,,,,forward,,attack,range_forward,ice,,,,,
ティリス,P,49,プリティバトルクリスタルキッス♪,3,,heal,all_cycle,atkspeedup,restoration,,,,
,,,,,,,,,,,,,
イビサム,F,182,ナンデヤネンインパクト,3,,attack,one_short,add_push,,,,,
バスマ,K,89,オモロイブリザード,2,,attack,range_all,add_freeze,,,,,敵味方含めて全員凍結・ダメージなし
,,,,,,,,,,,,,
ツヅミ,F,183,響鬼崩撃打,2,,attack,one_short,,,,,,
,,,,,,,,,,,,,
# 魔神ロサビス戦,,,,,,,,,,,,,
,,,,,,,,,,,,,
ロザリア,F,184,アディリスクーペ,2,,attack,one_combo,add_slow,,,,,
,,,,forward,,attack,one_short,,,,,,
ロサビス,K,90,グロスフェール,3,,attack,range_dash,add_push,,,,,
,,,,forward,,buff,self,defup,,,,,
,,,,,,,,,,,,,
# フーコの夏祭り,,,,,,,,,,,,,
,,,,,,,,,,,,,
シンフォニア,K,91,アーティライト（法被）,3,,attack,one_line,,,,,,
ヴェルナー,M,133,ヴォルケーノ,2,,attack,range_line,fire,add_down,,,,
ユニ,M,134,アブソリュートゼロ,2,,attack,one_combo,ice,,,,,
ローエンディア,K,92,フルーレ,1,,attack,one_short,add_push,,,,,
エレミア,M,135,メイド式治療術,2,,heal,all_instant,cure_blind,,,,,
アリエッタ,P,50,ヘイストヒール,1,,heal,all_instant,cure_slow,,,,,
フーコ,F,185,くのいちのおうぎ,2,,attack,one_line,,,,,,
,,,,forward,,attack,range_jump,add_down,,,,,一番遠い敵の目の前に飛ぶ
フィーナ,P,51,クロノス,3,,attack,range_all,,,,,,
,,,,,,,,,,,,,
シュゾン,K,93,ソニックドライブ,1,,attack,one_combo,,,,,,
,,,,forward,発動時マナ7つ以上,attack,one_short,add_push,,,,,
,,,,,,,,,,,,,
# 罪の大陸新キャラ追加,,,,,,,,,,,,,
,,,,,,,,,,,,,
ホルスト,A,89,双銃闘術・衝式,3,,attack,range_combination,add_push,,,,,
ヨハンナ,A,90,ドラマティックプリズン,2,,area,continual,add_blind,,,,,
,,,,forward,,attack,one_line,,,,,,
ユディト,A,91,サン・ルヴァンシュ,2,,attack,one_line,add_down,kill_pierce,,,,
ベッツィー,F,186,ブラッドレイン,1,,attack,range_dash,,,,,,
,,,,,,,,,,,,,
# シャイニング・レゾナンスコラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
ジーナス,F,187,竜気・煌爪斬,2,,attack,range_short,charge,,,,,
ゼスト,F,188,バレットソウル,2,,attack,bullets,,,,,,連続射撃
エクセラ,K,94,ドラグーンダイブ,3,,attack,range_jump,,,,,,
ベアトリス,F,189,光輪演武,2,,attack,one_combo,add_poison,,,,,
ゲオルグ,K,95,ライバルアタック,1,,attack,range_forward,add_push,,,,,
マリオン,A,92,チャージブラスター,2,,attack,one_line,kill_pierce,,,,,
ヨアヒム,P,52,オペの時間,1,,heal,all_instant,defup,,,,,
,,,,,,,,,,,,,
ユーマ,F,190,ドラゴンスクェア,3,,attack,range_self,add_down,,,,,
ソニア,K,96,ミリオンスラスト,2,,attack,one_combination,,,,,,
キリカ,A,93,閃煌,2,,attack,range_line,,,,,,
アグナム,F,191,ヴァルブレイズ,1,,song_dance,speedup,,,,,,
,,,,forward,,attack,range_line,fire,,,,,
レスティ,K,97,凍気滅刃,2,,attack,range_forward,ice,,,,,
リンナ,P,53,エタニティウィンド,1,,heal,all_instant,atkup,,,,,
,,,,,,,,,,,,,
ソニア,K,98,神速の雷光,1,,attack,one_dash,add_slow,,,,,
キリカ,A,94,秋詠歌「微笑みのなる樹」,1,,song_dance,defspeedup,guard_poison,,,,,
,,,,,,,,,,,,,
# 2部6章,,,,,,,,,,,,,
,,,,,,,,,,,,,
フェーべ,K,99,ラーゼンヴィント,3,,attack,range_random,add_down,destroy_scrap,,,,2個
エレメンガルト,K,100,ツェーレシュトロム,1,,area,echo,create_scrap,,,,,1個
ケーテ,K,101,ヴァイガーン,1,,attack,range_blast,create_scrap,,,,,2個
ハンネス,A,95,ヴルカーン,2,,attack,bombard,create_scrap,,,,,1個
オリヴィア,A,96,ハイリヒトゥーム,1,,area,target,create_scrap,,,,,1個
,,,,,,,,,,,,,
アルトルム,F,192,ドゥエル,1,,attack,one_combination,create_scrap,,,,,1個
アリーナ,F,193,アイゼンフォスト,3,,attack,one_short,destroy_scrap,,,,,2個
ディートリンデ,K,102,ゲシュヴィント,2,,attack,range_dash,add_push,destroy_scrap,,,,2個
フロレンツィア,K,103,エントツュンデン,2,,attack,range_random,create_scrap,,,,,1個
フリードリッヒ,K,104,オー・マインケルパ,1,,heal,one_self,create_scrap,,,,,2個
エーリヒ,A,97,シャルフシィーシェン,2,,attack,one_line,add_push,create_scrap,,,,1個
ランドルフ,A,98,シュネルフォイヤー,2,,buff,self,destroy_scrap,,,,,1個
ミリヤム,A,99,ランツェカノネ,1,,attack,one_line,kill_pierce,,,,,
ビアンカ,P,54,フェータイディゲン,2,,heal,all_cycle,destroy_scrap,,,,,1個
,,,,,,,,,,,,,
クルト,F,194,ヴィヒティッヒシャッツ,2,,attack,one_short,destroy_scrap,,,,,2個
オティーリエ,K,105,ライナーシュラーク,3,,attack,range_line,create_scrap,,,,,1個
アンチェ,K,106,レパラトゥーラハンマー,2,,attack,range_dash,destroy_scrap,,,,,1個
アニヤ,K,107,アントヴォルト,1,,buff,random,create_scrap,,,,,1個
アレックス,K,108,ドライファッハシュタンフェン,2,,attack,range_random,create_scrap,,,,,2個
カーヤ,K,109,ツァーンラート,3,,attack,range_self,,,,,,
イリーネ,A,100,マシーネリーコンツェルト,2,,song_dance,fullup,,,,,,
レーネ,A,101,ゼクスフォイヤー,2,,attack,one_line,,,,,,
ラース,P,55,ベハンドルング,1,,heal,all_instant,cure_down,,,,,
,,,,,,,,,,,,,
ツィスカ,K,110,ウンクラオト,2,,attack,range_short,,,,,,
エッケハルト,A,102,エントデックング,3,,attack,one_line,create_scrap,,,,,1個
,,,,,,,,,,,,,
ライラック,K,111,リラ・エクレール,2,,attack,range_self,charge,add_blind,,,,
,,,,,,,,,,,,,
# 九領キャラ追加,,,,,,,,,,,,,
,,,,,,,,,,,,,
ミシマ,F,195,海斬波,1,,attack,range_explosion,,,,,,
,,,,forward,,buff,self,,,,,,
ムラクモ,F,196,紫雲の太刀,2,,attack,one_combo,,,,,,
,,,,forward,,attack,one_combo,,,,,,一番近い敵の前に移動
クズノハ,M,136,呪式・昏々祟り,1,,attack,range_line,add_curse,,,,,
キョウカ,F,197,献妻の一撃,2,,attack,one_short,,,,,,
,,,,either,発動時マナ4つ以下,attack,one_short,add_down,,,,,ダメージ増加
エンクウ,P,56,鬼僧の馳走,1,,heal,all_instant,cure_down,,,,,
,,,,,,,,,,,,,
# 竜徹フェス,,,,,,,,,,,,,
,,,,,,,,,,,,,
フリージア,M,137,コキュートスドライブ,2,,attack,range_all,add_freeze,,,,,
,,,,,,,,,,,,,
# お菓子とおばけと子供たち,,,,,,,,,,,,,
,,,,,,,,,,,,,
テルー,M,138,ピーク・ア・ブゥ,1,,attack,one_random,add_curse,,,,,攻撃したあと元の位置に戻る
シュガー,M,139,スウィートギフト,2,,attack,one_combo,,,,,,
,,,,forward,,attack,one_short,add_push,,,,,
,,,,,,,,,,,,,
# アトリエ「アーランドシリーズ」コラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
トトリ,M,140,デュプリケイト,2,,buff,self,restoration,atkup,critup,,,返還：4体で2つ
メルル,M,141,パワーアイテム,2,,attack,range_drop,,,,,,
,,,,either,発動時マナ4つ以上,attack,range_drop,,,,,,威力増加
ステルク,K,112,ガイアブレイク,3,,attack,one_combo,,,,,,
,,,,forward,,attack,one_short,charge,add_push,add_down,,,
ミミ,F,198,ブリッツシュトース,2,,attack,range_forward,,,,,,
クーデリア,A,103,クロスファイア,2,,attack,range_blast,,,,,,
ケイナ,P,57,幸せの歌,1,,heal,all_instant,atkup,critup,,,,能力UPは魔のみ
,,,,,,,,,,,,,
ロロナ,M,142,エンゼルシュート,2,,attack,range_forward,,,,,,
ロロナ,M,143,錬金術士のひらめき,1,,attack,range_forward,,,,,,
,,,,either,3Chain以上,attack,range_forward,,,,,,威力・効果範囲増加
,,,,,,,,,,,,,
リュドミラ,F,199,ブラッディプリズン,1,,area,continual,,,,,,
ナナイ,M,144,マイトトキシン,1,,attack,range_line,add_poison,,,,,
,,,,,,,,,,,,,
# ショートストーリーズフェス,,,,,,,,,,,,,
,,,,,,,,,,,,,
キララネ,M,145,オラクル・ノヴァ,2,,attack,bullets,,,,,,
,,,,forward,,attack,range_blast,,,,,,
,,,,,,,,,,,,,
# 相剋の精霊島,,,,,,,,,,,,,
,,,,,,,,,,,,,
リンセ,F,200,ゴッド・ニャンド,2,,attack,one_combo,,,,,,
アギーラ,F,201,エンベスティーダ,1,,attack,range_line,add_push,,,,,
スピリオーナ,A,104,ノーティラドル,2,,attack,one_rear,,,,,,
リーニャ,A,105,ボスケィラード,2,,attack,one_line,,,,,,
,,,,forward,エンドラインにいる時,heal,all_cycle,cure_blind,,,,,
,,,,,,,,,,,,,
ソフィー,M,146,オーラブレイク,2,,attack,range_drop,add_down,,,,,
サクヤ,F,202,緋炎斬,3,,attack,one_short,fire,add_slow,,,,
,,,,,,,,,,,,,
# 聖剣伝説コラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
