#名前,職,index,名前,系統,条件,効果,対象,備考,武器名
メフルナーシュ,M,52,精霊の囁き,resource,battle_end,ap_recover,resource,,
,,,真理への導き,skillup,skill,skill_boost,self,,
イザベル,M,53,強気,buff_self,hp_upto,atkdefup,self,,
,,,マナの素養,mana,battle_start,mana_charge,resource,,
チアリー,M,54,ムードメーカー,buff_others,any,atkup,all,,
,,,奇術の奥義書,skillup,any,skill_atkup,self,,
カレン,M,55,応急処置,heal,wave_start,heal_self,self,,
,,,誤った素養,combat,attack,combat,self,,
ミスティ,M,56,強気,buff_self,hp_upto,atkdefup,self,,
,,,お宝好き,resource,battle_start,treasure,resource,,
魔王,M,57,家計簿,resource,battle_end,goldup,resource,,
,,,学士の教え,resource,battle_end,expup,resource,,
ロビン,M,58,楽しい折檻,combat,attack,combat,self,,
,,,少女の魅力,buff_others,any,speedup,all,,
シロエ,M,59,アストラルバインド,add_debuff,attack,slow,enemy,,
,,,全力管制戦闘,buff_all,any,atkspeedup,all,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
フラウ,M,60,溢れるアイディア,mana,wave_start,slot_slow,resource,,
,,,お騒がせ付与魔法,buff_others,any,atkdefup,jobs,戦/騎,
ルクレチア,A,36,極彩色の悪魔,killer,vs_human,atkup,self,,
,,,,buff_self,hp_upto,atkspeedup,self,,
,,,暗殺者の快楽,mana,kill,mana_drop,resource,スキルで確率UP,
チワ,M,61,義勇軍のマスコット,buff_all,any,defspeedup,all,,
,,,,heal,wave_start,heal_all,all,,
,,,真紅と群青の炎,element,attack,fire,enemy,,
,,,,add_debuff,attack,freeze,enemy,,
,,,,add_debuff,skill,freeze,enemy,,
オーロラ,K,47,極光の長剣術,mana,battle_start,mana_charge,resource,,
,,,,buff_self,any,atkspeedup,self,,
,,,雪辱の誓い,buff_self,dropout_member,atkdefup,self,,
,,,,buff_all,dropout_member,atkup,all,,
ラスフィア,M,63,魔神の回生力,heal,wave_start,heal_self,self,,
,,,ソウルペネトレイト,pierce,attack,pierce,enemy,,
ミジョカ,M,62,天才のひらめき？,mana,wave_start,mana_boost,resource,,
,,,ひたむきな努力,skillup,any,skill_atkup,self,,
シェラザード,F,80,砂漠に舞う薔薇,buff_self,any,defup,self,,
,,,磨かれる宝石,in_debuff,in_poison,atkspeedup,self,,
,,,,in_debuff,in_slow,atkspeedup,self,,
,,,,in_debuff,in_curse,atkspeedup,self,,
,,,,in_debuff,in_weaken,atkspeedup,self,,
ロロ,K,48,炎の咆昂,buff_self,wave_start,atkdefup,self,,
,,,,buff_self,in_head,speedup,self,,
,,,火妖精の英雄,buff_all,any,atkdefup,jobs,騎/魔,
ハティ,M,64,真理の石片,combat,attack,combat,self,,
,,,石板の共鳴,in_debuff,in_slow,atkup,self,,
,,,,in_debuff,in_blind,atkup,self,,
,,,,in_debuff,in_seal,atkup,self,,
ハティファス,M,65,魔神の波動,mana,wave_start,mana_boost,resource,,
,,,幽遠の智慧,buff_self,wave_start,atkup,self,,
ソロ,A,37,均衡を望む弓,add_debuff,attack,slow,enemy,,
,,,冷静な識者,buff_others,any,atkup,archer,,
,,,,,,,,,
,,,,,,,,,
アオイ,P,27,マナの天分,mana,battle_start,mana_charge,resource,2個,
,,,鬼道,buff_self,heal,healareaup,self,,
,,,,heal,wave_start,heal_all,all,,
ルーク,F,81,黒ノ狂撃,buff_self,any,crdamup,self,,
,,,,add_debuff,critical,down,enemy,,
,,,人間として,killup,kill,atkspeedup,self,防御力低下,
オルドレード,K,49,禍騎士の天命,mana,wave_start,mana_boost,resource,,
,,,狂戦士の楔,buff_jobs,any,atkup,jobs,戦/騎　防御力低下,
カデッサ,K,50,疾風の灰戦士,buff_self,any,speedup,self,,
,,,灰白の狂戦士,buff_self,wave_start,atkup,self,防御力低下,
,,,,,,,,,
# 2部,,,,,,,,,
,,,,,,,,,
主人公,F,82,絆が見せる光,buff_self,any,crdamup,self,,
,,,,buff_self,boss_wave,atkup,self,,
,,,義勇軍の絆,buff_others,any,atkup,all,,
,,,託されたクロニクル,buff_self,any,super_skill,self,,黒騎士の剣
,,,,buff_self,any,maxhpup,self,,
カイン,K,51,一続きの物語＜夢＞,buff_self,any,maxhpup,self,,
,,,,buff_self,any,atkup,self,,
,,,,against_debuff,any,guard_poison,self,,
,,,守り手の使命,buff_self,any,guardup,self,,
,,,,buff_self,hp_downto,defup,self,,
,,,義勇軍の護り手,mana,battle_start,mana_charge,resource,,リストレイナー
,,,,buff_self,guard,atkdefup,self,,
ミシディア,A,38,一続きの物語＜志＞,buff_self,any,maxhpup,self,,
,,,,buff_self,any,atkspeedup,self,,
,,,射手の使命,add_debuff,attack,slow,enemy,,
,,,義勇軍の撃ち手,mana,wave_start,slot_slow,resource,,エイムシュート
,,,,buff_self,hp_upto,critdamup,self,,
マリナ,P,28,一続きの物語＜想＞,buff_self,any,maxhpup,self,,
,,,,buff_self,any,atkup,self,,
,,,,buff_self,heal,healup,self,,
,,,,against_debuff,any,guard_down,self,,
,,,癒し手の使命,heal,wave_start,heal_one,hp_worst,,
,,,義勇軍の癒し手,mana,wave_start,mana_boost,resource,,アンデュレーション
,,,,buff_jobs,wave_start,barrier,jobs,一番近い戦と騎,
イナミ,M,66,狐火,element,attack,fire,self,,
,,,,pierce,attack,pierce,enemy,,
,,,九尾の妖力,skillup,any,skill_atkup,self,,
,,,,skillup,skill,charge_reduce,self,,
,,,,,,,,,
オルカ,K,52,夕凪の導き,buff_self,any,atkup,self,,
,,,,buff_self,boss_wave,atkspeedup,self,,
,,,狩人の戦列,buff_jobs,union,fullup,jobs,条件：戦/騎　効果：戦/騎,
ルーラ,F,83,不意のオシオキ,skillup,any,skill_atkup,self,,
,,,,add_debuff,skill,slow,enemy,,
,,,異彩の美意識,buff_self,any,crdamup,self,,
,,,,buff_self,any,critup,self,,
,,,,buff_all,union,critup,all,条件：精霊島所属,
サーポ,M,67,急がば回れ,heal,any,heal_cycle,self,,
,,,,buff_self,hp_full,atkup,self,,
,,,乙姫の加護,against_debuff,any,guard_weaken,self,,
,,,,against_debuff,any,guard_curse,self,,
,,,,mana,wave_start,mana_boost,resource,,
,,,,buff_self,mana_charged,atkup,self,,
ライア,F,84,独りの遊撃隊,buff_self,any,atkspeedup,self,,
,,,,buff_self,hp_downto,atkspeedup,self,HP75%・50%の二段階,
,,,ふたりでひとつ,skillup,any,skill_atkup,self,,
,,,,add_debuff,skill,poison,enemy,,
,,,,in_debuff,in_poison,atkdefup,self,,
,,,,in_debuff,in_blind,atkdefup,self,,
,,,,in_debuff,in_weaken,atkdefup,self,,
,,,,,,,,,
ペイシェ,F,85,大海の祝福,buff_self,any,atkdefup,self,,
,,,,field,in_beach,fullup,self,,
,,,,field,in_ship,fullup,self,,
,,,,field,in_sea,fullup,self,,
,,,義勇軍の航海士,resource,battle_end,expup,resource,,
オルデル,K,53,山の重圧,add_debuff,attack,down,enemy,,
,,,巡回者のお守り,in_debuff,in_debuff,defup,self,,
アレグリア,A,39,神木の戒め,add_debuff,attack,slow,enemy,,
,,,森妖精の信念,buff_jobs,union,atkup,jobs,条件：戦/弓4名　効果：戦/弓,
フロル,P,29,マナの素養,mana,battle_start,mana_charge,resource,,
,,,世界への同化,buff_self,heal,areaup,self,,
,,,,buff_jobs,union,atkspeedup,jobs,条件：弓/僧4名　効果：弓/僧,
ステラ,M,68,プリティーハント,resource,battle_start,treasure,resource,,
,,,可愛い未来,buff_self,mana_charged,atkup,self,,
ボニート,A,40,守護者の誇り,buff_self,hp_downto,atkspeedup,self,,
,,,聖樹の加護,for_debuff,for_poison,atkup,self,,
,,,,for_debuff,for_blind,atkup,self,,
,,,,for_debuff,for_slow,atkup,self,,
トゥバラオ,F,86,喧嘩上等！,buff_self,any,maxhpup,self,,
,,,,buff_self,any,atkup,self,,
,,,仁義立て,buff_self,hp_downto,atkup,self,,
ペローラ,K,54,真珠貝の守り,buff_self,any,defup,self,,
,,,,buff_self,any,guardup,self,,
,,,穢れ無き笑顔,heal,wave_start,heal_all,all,,
ヘリデ,F,87,防衛本能,buff_self,hp_downto,defup,self,,
ボルサ,F,88,覚醒,buff_self,hp_downto,atkdefup,self,,
トルトゥガ,F,89,舵木通し,buff_self,any,atkspeedup,self,,
ネブリナ,K,55,個性の求道者,skillup,any,skill_atkup,self,,
ミドア,M,69,ゆらゆら,add_debuff,attack,slow,enemy,,
タンボリル,A,41,荒波の本性,combat,attack,combat,self,,
,,,,,,,,,
,,,,,,,,,
#モアネット救援,,,,,,,,,
,,,,,,,,,
クラウディア,M,70,秘めた才能,buff_self,any,atkup,self,,
,,,,buff_self,mana_charged,atkup,self,,
,,,カリスマの家系,buff_jobs,union,atkspeedup,jobs,条件：戦/魔2名　効果：戦/魔,
シェアラ,F,90,探しもの,resource,battle_end,ap_recover,resource,,
,,,資産家の遺児,resource,battle_end,goldup,resource,,
ベラ,M,71,吸血魔法,heal,attack,absorb,self,,
モアネット,F,91,働き者の二代目,buff_self,any,defspeedup,self,,
,,,,against_debuff,any,guard_down,self,,
,,,無敵の看板娘,skillup,in_combo,skill_atkup,self,,
,,,,buff_self,in_combo,speedup,self,,
,,,,,,,,,
マリーダ,F,92,土妖精の肉体,heal,wave_start,heal_self,self,,
,,,豪腕,buff_self,any,crdamup,self,,
,,,,add_debuff,critical,down,enemy,,
パトリシア,A,42,慈善活動,resource,battle_end,goldup,resource,,
,,,笑顔の運び手,heal,wave_start,heal_all,all,,
,,,,,,,,,
# 魔神アグダラ戦,,,,,,,,,
,,,,,,,,,
オルオレータ,A,43,海風の氏族長,against_debuff,any,guard_all,self,,
,,,,buff_all,any,atkdefup,jobs,戦/弓,
,,,銀狼の牙,add_debuff,attack,poison,enemy,,
,,,,for_debuff,for_poison,atkup,self,,
,,,,for_debuff,for_down,atkup,self,,
,,,,for_debuff,for_blind,atkup,self,,
アグダラ,F,93,剣聖の素養,mana,battle_start,mana_charge,resource,,
,,,,add_debuff,skill,down,enemy,,
,,,刹那の一閃,skillup,any,skill_atkup,self,,
,,,,buff_self,boss_wave,atkup,self,,
,,,,,,,,,
# ツル姫と夏祭り,,,,,,,,,
,,,,,,,,,
アンジェリカ,F,94,疾風,buff_self,any,speedup,self,,
,,,浴衣美人の一撃,killer,vs_human,atkup,self,,
,,,,buff_self,any,crdamup,self,,
ベルナデット,F,95,全力の一撃,buff_self,any,crdamup,self,,
,,,想いの力,skillup,any,skill_atkup,self,,
,,,,buff_self,hp_upto,atkup,self,,
トウカ,F,96,オーガキラー,killer,vs_ogre,atkup,self,,
,,,思い出のかんざし,heal,wave_start,heal_all,all,,
,,,,heal,wave_start,heal_one,hp_worst,,
ロレッタ,F,97,商魂たくましく,resource,battle_end,goldup,resource,,
,,,,heal,attack,absorb,self,,
,,,破壊魔人の本性,buff_self,hp_downto,atkspeedup,self,,
ソーニャ,F,98,炎刀使いの用心棒,buff_self,boss_wave,atkup,self,,
,,,人を助ける炎,skillup,any,skill_atkup,self,,
,,,,element,attack,fire,self,,
リフレット,K,56,ゴーレムキラー,killer,vs_golem,atkup,self,,
,,,浴衣の向日葵,against_debuff,any,guard_down,self,,
,,,,against_debuff,any,guard_slow,self,,
,,,,buff_self,any,critup,self,,
ツル,F,99,座禅の成果,buff_self,mana_charged,atkup,self,,
,,,,mana,kill,mana_drop,resource,,
,,,ツルの一声,buff_all,in_sub,atkspeedup,all,,
,,,,,,,,,
,,,,,,,,,
ユカチ,M,72,幼き老婆,against_debuff,any,guard_undead,self,,
,,,,mana,battle_start,mana_charge,resource,,
,,,絶対領域,buff_self,hp_upto,atkup,self,,
カナーン,K,57,莫大な脅威,buff_self,any,speedup,self,,
,,,,buff_self,hp_downto,atkdefup,self,,
,,,最愛を守る騎士,for_debuff,for_slow,atkdefup,self,,
,,,,,,,,,
ソリティー,M,73,不運の力,buff_self,hp_upto,speedup,self,,
,,,,buff_self,hp_downto,atkup,self,,
,,,誰かに幸せを,buff_all,dropout_self,atkspeedup,all,,
,,,,heal,dropout_self,heal_all,all,,
,,,,,,,,,
範馬刃牙,F,100,剛体術,buff_self,any,crdamup,self,,
,,,範馬の血,buff_self,hp_downto,atkspeedup,self,瀕死状態でさらに与えるダメージUP,
,,,,,,,,,
# 2部2章,,,,,,,,,
,,,,,,,,,
リンリー,F,101,疾風怒濤,buff_self,wave_start,atkspeedup,self,,
,,,,buff_self,boss_wave,atkup,self,,
,,,,buff_self,boss_wave,critup,self,,
,,,秘めた想い,buff_self,in_combo,atkspeedup,self,,
,,,,buff_self,hp_downto,atkup,self,,
モルガン,K,58,人こそ至宝,buff_jobs,any,defup,knight,,
,,,,buff_jobs,any,atkup,archer,,
,,,,buff_weapons,any,critup,weapons,対象：銃,
,,,揺れない信念,buff_self,attack,delayoff,self,,
,,,,buff_self,any,critup,self,,
バルトロ,A,44,アップグレード,buff_self,attack,atkup,self,,
,,,,buff_self,any,critdamup,self,,
,,,,pierce,kill,pierce,enemy,,
,,,夜明けの海,skillup,any,skill_atkup,self,,
,,,,add_debuff,skill,push,enemy,,
,,,,mana,battle_start,mana_charge,resource,,
ミラ,A,45,銃への恩返し,add_debuff,attack,slow,enemy,,
,,,,for_debuff,for_slow,atkup,self,,
,,,一瞬の閃光,buff_self,attack,atkup,self,,
,,,,buff_self,attack,delayoff,self,,
,,,,pierce,kill,pierce,enemy,,
ヘリシティー,M,74,呼応する大海原,pierce,attack,pierce,enemy,,
,,,,buff_self,in_pierce,atkup,self,,
,,,,field,in_beach,atkdefup,self,,
,,,,field,in_ship,atkdefup,self,,
,,,,field,in_sea,atkdefup,self,,
,,,封印されし魔力,skillup,any,skill_atkup,self,,
,,,,mana,kill,mana_drop,resource,スキルで確率UP,
,,,,,,,,,
キオラ,F,102,勇色兼備,buff_self,hp_upto,atkup,self,HP1/3と2/3の二段階,
,,,捧神の舞,buff_self,in_combo,speedup,self,,
グローリア,F,103,終わらない闇夜,buff_self,dropout_member,atkup,self,,
,,,激昂の剣撃,buff_self,hp_downto,atkspeedup,self,,
ティア,K,59,サハギンキラー,killer,vs_fish,atkup,self,,
,,,無垢なる幸運,resource,battle_start,treasure,resource,,
ヴィオレッタ,K,60,貴族のたしなみ,buff_self,any,atkup,self,,
,,,,buff_self,any,guardup,self,,
,,,思い込み一直線,buff_self,any,defup,self,,
,,,,against_debuff,any,guard_push,self,,
コンスタンサ,A,46,弱点狙い,pierce,kill,pierce,enemy,,
,,,無形の財産,heal,wave_start,heal_one,hp_worst,,
アラクネー,M,75,滲み出る神秘,buff_all,any,defup,all,,
,,,万物の声,buff_all,in_sub,atkdefup,all,,
,,,,,,,,,
ニウ,F,104,動体視力,mana,wave_start,slot_slow,resource,,
ロッタ,F,105,大商才,resource,battle_end,goldup,resource,,
ガイ,F,106,拳闘士の構え,buff_self,in_combo,atkspeedup,self,,
レン,F,107,連撃,buff_self,in_combo,atkup,self,,
メイビア,F,108,火事場力,buff_self,hp_downto,atkup,self,,
ガスパール,F,109,旅の秘訣,resource,battle_end,ap_recover,resource,,
ディラン,F,110,隠し銃,skillup,any,skill_atkup,self,,
,,,,add_debuff,skill,slow,enemy,,
ドミニック,F,111,潜水服,buff_self,any,defup,self,,
,,,,field,in_beach,atkdefup,self,,
,,,,field,in_ship,atkdefup,self,,
,,,,field,in_sea,atkdefup,self,,
アーネスト,F,112,大物喰い,buff_self,boss_wave,atkup,self,,
アブエロ,K,61,覚醒,buff_self,hp_downto,atkdefup,self,,
リュキシー,K,62,防御姿勢,buff_self,hp_downto,defup,self,与えるダメージ低下,
シャントゥール,A,47,後方防御支援,buff_all,in_sub,defup,all,,
ヴィクトリア,A,48,早撃ち,buff_self,attack,atkup,self,,
,,,,buff_self,attack,delayoff,self,,
マリアン,A,49,弱点狙い,pierce,kill,pierce,enemy,,
ラルダ,A,50,後方攻撃支援,buff_all,in_sub,atkup,all,,
ダビド,A,51,海洋戦闘,field,in_beach,fullup,self,,
,,,,field,in_ship,fullup,self,,
,,,,field,in_sea,fullup,self,,
アメリア,P,30,商才,resource,battle_end,goldup,resource,,
ハンジ,P,31,船上医術,buff_self,heal,healup,self,効果範囲減少,
,,,,buff_self,attack,delayoff,self,,
,,,,buff_self,combat,healdelayoff,self,,
メレディス,M,76,大商才,resource,battle_end,goldup,resource,,
ジーナ,M,77,真昼の星,resource,battle_end,expup,resource,,
,,,,,,,,,
ブロッサム,F,113,疾風,buff_self,any,speedup,self,,
ジャン,A,52,手当,heal,wave_start,heal_one,hp_worst,,
リスフィン,A,53,精密射撃,buff_self,attack,atkup,self,,
,,,,buff_self,attack,delayoff,self,,
マール,P,32,敬虔な祈り,buff_self,heal,healup,self,,
ハヴェル,M,78,窮鼠,buff_self,hp_downto,atkup,self,,
,,,,,,,,,
リネイア,F,114,名刀収集癖,resource,battle_start,treasure,resource,,
,,,,resource,battle_end,goldup,resource,,
,,,刀との対話,add_debuff,critical,push,enemy,,
,,,,,,,,,
# アトリエ「黄昏シリーズ」コラボ,,,,,,,,,
,,,,,,,,,
ロジー,F,115,スタンブロウ,buff_self,any,critup,self,,
,,,,add_debuff,critical,down,enemy,,
,,,最新鋭錬金術,mana,kill,mana_drop,resource,,
エスカ,M,79,錬金術士の知恵,buff_self,mana_charged,atkup,self,,
,,,私たちの約束,buff_self,any,speedup,self,,
,,,,buff_others,any,atkspeedup,jobs,戦/魔,
シャルロッテ,F,116,気まぐれな才能,resource,battle_end,ap_recover,resource,,
,,,天性の楽天家,against_debuff,any,guard_slow,self,,
,,,,against_debuff,any,guard_poison,self,,
アウィン,F,117,整備士の心得,heal,wave_start,heal_self,self,,
,,,打撃マスター,buff_self,any,crdamup,self,,
シャリステラ,M,80,錬金術師の才覚,mana,wave_start,mana_boost,resource,,
,,,ヒーリングサルブ,heal,wave_start,heal_one,hp_worst,,
アーシャ,P,33,潜在能力開放,buff_self,heal,healareaup,self,,
,,,さがしもの,resource,battle_start,treasure,resource,,
ウィルベル,M,81,オールレンジソード,mana,battle_start,mana_charge,resource,,
,,,,combat,attack,combat,self,,
,,,,buff_self,combat,delayoff,self,,
,,,精霊の力＆魔法耐性,skillup,any,skill_atkup,self,,
,,,,buff_self,any,registup,self,,
# ver2.1精霊島追加,,,,,,,,,
,,,,,,,,,
レアーオ,K,63,獅子邁進,heal,wave_start,heal_self,self,,
,,,獅子奮迅,for_debuff,for_blind,atkdefup,self,複数の状態異常でさらに上昇,
,,,,for_debuff,for_poison,atkdefup,self,複数の状態異常でさらに上昇,
,,,,for_debuff,for_slow,atkdefup,self,複数の状態異常でさらに上昇,
トレランシア,P,34,癒しの杜,buff_self,heal,healareaup,self,,
,,,,buff_all,wave_start,speedup,all,,
,,,聖域の守護樹,buff_all,wave_start,atkup,all,,
キャン,F,118,ワイルドグレース,buff_self,any,speedup,self,,
,,,,against_debuff,any,guard_poison,self,,
,,,,against_debuff,any,guard_weaken,self,,
,,,森妖精の決意,heal,wave_start,heal_one,hp_worst,,
,,,,field,in_forest,fullup,self,,
コネリ,A,54,必倒の弓技,add_debuff,attack,poison,enemy,,
,,,,for_debuff,for_blind,atkup,self,,
,,,白兎の守護,buff_self,any,speedup,self,,
,,,,buff_self,hp_full,atkup,self,,
,,,,,,,,,
パメラス,K,64,私の騎士道,buff_self,any,defup,self,,
,,,,buff_self,any,guardup,self,,
,,,勇気の心,heal,wave_start,heal_one,hp_worst,,
メガドライブ,M,82,剣術の心得,combat,attack,combat,self,,
,,,青き神の加護,buff_self,any,speedup,self,,
,,,,resource,battle_end,goldup,resource,,
,,,,,,,,,
# 絶対絶望少女コラボ,,,,,,,,,
,,,,,,,,,
ジェノサイダー翔,F,119,切り替わる人格,buff_self,any,speedup,self,,
,,,,killer,vs_human,atkup,self,,
,,,超高校級の殺人鬼,killup,kill,atkup,self,,
苗木こまる,A,55,デコダマ,buff_self,attack,atkup,self,,
,,,,pierce,kill,pierce,enemy,,
,,,絶望を超えて,buff_self,wave_start,atkspeedup,self,,
苗木誠,F,120,超高校級の幸運,buff_self,any,critdamup,self,,
,,,”希望”の少年,buff_others,any,atkup,all,,
召使い,F,121,本物の幸運,mana,wave_start,mana_boost,resource,,
,,,希望の代償,buff_all,dropout_self,atkup,all,,
,,,,mana,dropout_self,mana_drop,resource,戦マナ1つ固定,
十神白夜,A,56,冷静沈着,buff_self,attack,delayoff,self,,
,,,,pierce,kill,pierce,enemy,,
,,,超高校級の御曹司,buff_self,hp_upto,atkspeedup,self,,
,,,,resource,battle_end,goldup,resource,,
腐川冬子,P,35,白夜様への愛,buff_self,heal,healup,self,効果範囲減少,
,,,超高校級の文学少女,against_debuff,any,guard_weaken,self,,
,,,,against_debuff,any,guard_curse,self,,
モノクマ,F,122,投票タイム,buff_one,wave_start,atkup,random,戦/弓,
,,,,mana,wave_start,slot_slow,resource,,
,,,絶望の象徴,in_debuff,in_poison,atkup,self,,
,,,,in_debuff,in_slow,speedup,self,,
,,,,in_debuff,in_blind,defup,self,,
,,,,,,,,,
,,,,,,,,,
セガサターン,M,83,強気,buff_self,hp_upto,atkdefup,self,,
,,,ツッコミ担当,heal,wave_start,heal_one,hp_worst,,
ビジュアルメモリ,P,36,敬虔な祈り,buff_self,heal,healup,self,,
,,,ポイント稼ぎ,resource,battle_end,goldup,resource,,
ゲームギア,M,84,万全の態勢,buff_self,hp_full,atkup,self,,
,,,高燃費,skillup,any,skill_atkup,self,,
,,,,,,,,,
シャーリー,M,85,マナの巡り,mana,wave_start,slot_slow,resource,,
,,,ブルーミングマジック,skillup,mana_lost,skill_atkup,self,,
セラカ,K,65,永劫回帰,heal,any,heal_cycle,self,,
,,,,buff_self,hp_upto,defup,self,,
,,,,buff_self,hp_downto,atkup,self,,
,,,古人の開進,buff_jobs,wave_start,atkup,fighter,残りHPが最も高い,
,,,,buff_jobs,wave_start,defup,knight,残りHPが最も低い,
バリキ,F,123,正しい力,buff_self,boss_wave,atkdefup,self,,
,,,,buff_self,hp_downto,atkup,self,,
,,,バリキの根性論,invincible,dropout_self,invincible,self,,
キャス,M,86,英雄への第一歩,resource,battle_end,expup,resource,,
,,,,combat,attack,combat,self,遠距離攻撃不能,
,,,,buff_self,combat,delayoff,self,,
,,,想いを背負って,buff_self,hp_downto,fullup,self,,
エフィメラ,M,87,大鎌使いの戦闘技術,combat,attack,combat,self,,
,,,,buff_self,attack,delayoff,self,,
,,,,buff_self,any,critup,self,,
,,,高効率破壊戦闘,heal,attack,absorb,self,,
,,,,mana,any,mana_cost_down,self,,
,,,,,,,,,
# 砂漠の秘宝,,,,,,,,,
,,,,,,,,,
カリファ,K,66,深川静流,buff_self,hp_downto,atkup,self,HP4/5以下,
,,,,buff_self,hp_downto,defup,self,HP3/5以下,
,,,,buff_self,hp_downto,speedup,self,HP2/5以下,
,,,女王を支えし影,counter,defend,counterattack,enemy,,
,,,,add_debuff,attack,poison,enemy,,
,,,,add_debuff,add_poison,atkdown,enemy,,
ムニール ,F,124,ランプの精霊,buff_self,any,defup,self,,
,,,,against_debuff,any,guard_slow,self,,
,,,精との和解,buff_self,in_combo,atkspeedup,self,,
タリシュガ,F,125,見極める真価,for_debuff,for_poison,atkup,self,,
,,,,for_debuff,for_slow,atkup,self,,
,,,,for_debuff,for_blind,atkup,self,,
,,,罪を背負いて,buff_self,any,crdamup,self,,
,,,,buff_self,in_move,invisible,self,,
シェスメト,M,88,太古の魔法,heal,wave_start,heal_one,hp_worst,,
,,,,buff_self,hp_upto,atkup,self,,
,,,目覚めし最古の王女,add_debuff,skill,blind,enemy,,
,,,,pierce,attack,pierce,enemy,,
,,,,buff_self,in_pierce,atkup,self,,
,,,,,,,,,
シュラッカ,A,57,大物退治のエキスパート,killer,vs_dragon,atkup,self,,
,,,,killer,vs_golem,atkup,self,,
,,,れんしゅーせいか,buff_self,any,critup,self,,
,,,,buff_self,hp_full,atkup,self,,
,,,,,,,,,
# 閃の軌跡IIコラボ,,,,,,,,,
,,,,,,,,,
リィン,F,126,Mクオーツフォース,buff_self,hp_downto,atkdefup,self,,
,,,,mana,kill,mana_drop,resource,,
,,,激励,buff_jobs,union,atkdefup,jobs,条件：自身/騎/弓/僧　効果：戦/騎/弓/僧,
アリサ,A,58,Mクオーツエンゼル,invincible,dropout_self,invincible,self,,
,,,,heal,dropout_self,heal_self,self,,
,,,ヘヴンズギフト,mana,battle_start,mana_charge,resource,2個,
,,,,heal,wave_start,heal_all,all,,
ラウラ,K,67,Mクオーツブレイブ,buff_self,any,atkup,self,,
,,,,buff_self,any,critup,self,,
,,,鉄砕刃＆洸翼陣,add_debuff,attack,down,enemy,,
,,,,buff_self,wave_start,atkup,self,条件：HP50%以上　防御力低下,
フィー,F,127,Mクオーツレイヴン,buff_self,any,speedup,self,,
,,,,buff_self,any,critup,self,,
,,,エリアルハイド,buff_self,in_move,invisible,self,,
トワ,A,59,Mクオーツセプター,resource,battle_end,goldup,resource,,
,,,流星撃,buff_self,attack,atkup,self,,
,,,,pierce,kill,pierce,enemy,,
クレア,A,60,Mクオーツメビウス,heal,wave_start,heal_one,hp_worst,,
,,,モータルミラージュ,buff_self,any,critup,self,,
,,,,pierce,kill,pierce,enemy,,
エリオット,P,37,Mクオーツカノン,buff_self,heal,healareaup,self,,
,,,,heal,wave_start,heal_all,all,,
,,,エコーズビート,buff_jobs,wave_start,defup,jobs,最大HPが最も高い戦/騎,
,,,,,,,,,
,,,,,,,,,
ドリームキャスト,K,68,守護者,buff_self,any,guardup,self,,
,,,節約家,resource,battle_end,goldup,resource,,
,,,,,,,,,
# 2部3章,,,,,,,,,
,,,,,,,,,
ユギギ,F,128,黒の衝動,buff_self,in_front,atkup,self,条件：2名以上　防御力低下　3名以上で効果上昇,
,,,漆黒の刃爪,buff_self,in_combo,fullup,self,,
テリリア,F,129,褒めて褒めて！,buff_self,in_enemy_area,atkup,self,,
,,,,buff_self,in_enemy_back,atkup,self,,
,,,もっと褒めて！,mana,kill,mana_drop,resource,,
,,,,heal,in_base_area,heal_cycle,self,,
シェギギム,F,130,命令を主殿！,heal,others_skill,heal_self,self,,
,,,,buff_self,others_skill,atkup,self,,
,,,忠義の連携,buff_self,link,atkup,self,条件：2名以上,
,,,,heal,link,absorb,self,条件：2名以上,
グララオ,F,131,虎牙の共闘,buff_self,union,atkup,self,条件：自分以外の戦2名以上,
,,,,buff_self,union,crdamup,self,条件：自分以外の戦2名以上,
,,,,buff_self,union,speedup,self,条件：魔,
,,,,heal,union,heal_cycle,self,条件：弓,
,,,虎空乾坤の型,counter,defend,counterattack,enemy,,
,,,,add_debuff,counter,down,enemy,,
,,,,,,,,,
チロルル,F,132,ケ者の家政婦,buff_self,in_base_area,atkdefup,self,エンドライン近くで効果上昇,
,,,笑顔の奉仕,buff_all,in_sub,defspeedup,all,,
オウララ,F,133,自然との同化,heal,in_base_area,heal_cycle,self,,
,,,,buff_self,in_move,invisible,self,,
,,,同志との協調,buff_self,others_skill,atkup,self,,
キココナ,F,134,精霊舞闘,buff_self,in_enemy_area,atkup,self,,
,,,,heal,in_base_area,heal_cycle,self,,
,,,自然との調和,mana,battle_start,mana_charge,resource,,
,,,,field,in_upland,fullup,self,,
,,,,field,in_snow,fullup,self,,
ディシシヤ,F,135,誇りの闘い,buff_self,link,atkup,self,,
,,,勇猛なる虎,buff_self,in_enemy_area,atkspeedup,self,奥にいくと効果上昇,
レジジ,F,136,連携格闘,buff_self,any,speedup,self,,
,,,,buff_self,link,atkup,self,条件：戦2名以上,
,,,打倒の打撃,skillup,in_combo,skill_atkup,self,,
,,,,add_debuff,skill,slow,enemy,コンボ中のみ,
リジジ,F,137,連携格闘,buff_self,any,speedup,self,,
,,,,buff_self,link,atkup,self,条件：戦2名以上,
,,,打倒の追撃,for_debuff,for_slow,atkup,self,,
,,,,skillup,others_skill,skill_atkup,self,,
